"question","A","B","C","D","answer","direct_answer","extracted_answer","parse_method","is_correct"
"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。","0","4","2","6","B","C","C","bare_letter","False"
"设 S_5 中 p = (1, 2, 5, 4)(2, 3)。求 S_5 中 <p> 的幂。","8","2","24","120","C","B","B","bare_letter","False"
"求系数在该域中的给定多项式的所示有限域的所有零。Z_5 中：x^5 + 3x^3 + x^2 + 2x","0","1","0,1","0,4","D","D","D","bare_letter","True"
"陈述 1 | 非阿贝尔群的因子群是非阿贝尔的。陈述 2 | 若 K 是 H 的正规子群，H 是 G 的正规子群，则 K 是 G 的正规子群。","真，真","假，假","真，假","假，真","B","D","D","bare_letter","False"
"求给定多项式环中给定多项式的乘积。Z_8[x] 中：f(x) = 4x - 5，g(x) = 2x^2 - 4x + 2。","2x^2 + 5","6x^2 + 4x + 6","0","x^2 + 1","B","B","B","bare_letter","True"
"陈述 1 | 若一个群有一个阶数为 15 的元素，则它至少有 8 个阶数为 15 的元素。陈述 2 | 若一个群有超过 8 个阶数为 15 的元素，它必须有至少 16 个阶数为 15 的元素。","真，真","假，假","真，假","假，真","A","B","B","bare_letter","False"
"陈述 1 | 群 G 的每一个同态像都与 G 的一个因子群同构。陈述 2 | 群 G 的同态像与 G 的因子群相同（直到同构）。","真，真","假，假","真，假","假，真","A","D","D","bare_letter","False"
"陈述 1 | 当且仅当核为 {0} 时，环同态是一对一的。陈述 2 | Q 是 R 中的一个理想。","真，真","假，假","真，假","假，真","D","D","D","bare_letter","True"
"求 Q 上给定域扩张 Q(sqrt(2) + sqrt(3)) 的次数。","0","4","2","6","B","C","C","bare_letter","False"
"求系数在该域中的给定多项式的所示有限域的所有零。Z_7 中：x^3 + 2x + 2","1","2","2,3","6","C","C","C","bare_letter","True"
"陈述 1 | 若 H 是 G 的子群，且 a 属于 G，则 |aH| = |Ha|。陈述 2 | 若 H 是 G 的子群，且 a 和 b 属于 G，则 aH 和 Hb 相同或不相交。","真，真","假，假","真，假","假，真","C","A","A","bare_letter","False"
"若 A = {1, 2, 3}，则关系 S = {(1, 1), (2, 2)} 是","仅对称","仅反对称","对称和反对称","等价相关","C","B","B","bare_letter","False"
"求因子群 (Z_11 x Z_15)/(<1, 1>) 的阶数","1","2","5","11","A","B","B","bare_letter","False"
"Z_7[x] 中：多项式 x^3 + 2x^2 + 2x + 1 可以分解成线性因子。求此因子分解。","(x − 2)(x + 2)(x − 1)","(x + 1)(x + 4)(x − 2)","(x + 1)(x − 4)(x − 2)","(x - 1)(x − 4)(x − 2)","C","A","A","bare_letter","False"
"当 n = 10 时，求 S_n 中一个元素的最大可能阶数。","6","12","30","105","C","C","C","bare_letter","True"
