question,answer,cot_answer,extracted_answer,is_correct,lcr,question_id,difficulty
珍妮特的鸭子每天下 16 颗蛋。她每天早上早餐时吃 3 颗，每天用 4 颗为自己的朋友做松饼。剩下的鸭蛋她每天拿去农贸市场卖，每颗新鲜鸭蛋卖 2 美元。她每天在农贸市场赚多少钱？,18,"珍妮特每天总共下 16 颗鸭蛋。她早上早餐时吃 3 颗，所以还剩下 16 - 3 = 13 颗。她的朋友每天用 4 颗，所以还剩下 13 - 4 = 9 颗。卖出每颗 2 美元，她每天赚取 9 * 2 = 18 美元。

答案：18",18.0,True,1.0,0,easy
制作一件袍子需要 2 匹蓝色纤维布料和这个数量一半的白色纤维布料。它一共需要用掉多少匹布料？,3,"制作一件袍子需要 2 匹蓝色纤维布料和 1 匹白色纤维布料（因为白色布料的数量是蓝色布料一半）。因此，所需的总布料数量是 2 + 1 = 3 匹。

答案：3",3.0,True,1.0,1,easy
"乔希决定试试房屋翻新。他花了 80,000 美元买了一套房子，然后投入 50,000 美元进行维修。这样做使房子的价值增加了 150%。他赚了多少利润？",70000,"乔希在购买房子和进行维修后总共花费了 80,000 美元 + 50,000 美元 = 130,000 美元。房子的价值增加了 150%，这意味着它的新价值是原始价值的 250%（100% + 150%）。因此，新价值是 250,000 美元（130,000 美元的 2.5 倍）。利润是通过从新价值中减去原始价值计算得出的：250,000 美元 - 130,000 美元 = 120,000 美元。

答案：120000",120000.0,False,1.0,2,medium
詹姆斯决定每周跑 3 次 3 段冲刺，每段冲刺跑 60 米。他每周一共跑多少米？,540,"詹姆斯每周跑 3 次，每次跑 3 段冲刺，每段冲刺 60 米。要计算他每周跑的总距离，我们首先计算他每次跑的距离：3 段冲刺 × 60 米/段冲刺 = 180 米。接下来，计算他每周跑的总距离：3 次跑 × 180 米/次跑 = 540 米。
答案：540",540.0,True,1.0,3,easy
温迪每天给她的每只鸡喂 3 杯含有种子、黄粉虫和蔬菜的混合鸡饲料，以帮助它们保持健康。她给鸡喂 3 顿饲料。上午，她给鸡群喂 15 杯饲料。下午，她给鸡喂 25 杯饲料。如果温迪的鸡群规模达到 20 只，则在一天中的最后一顿，她需要给鸡喂多少杯饲料？,20,"首先，计算温迪一天内给鸡群喂食的饲料总量：15 杯（上午）+ 25 杯（下午）= 40 杯。接下来，确定她一天内喂食的 feed 总数：40 杯/天 × 3 顿/天 = 120 杯/天。最后，将每天的总 feed 量除以鸡群的规模，以找出每只鸡每天需要多少 feed：120 杯/天 ÷ 20 只鸡 = 每只鸡 6 杯/天。因此，在最后一顿 feed 喂养时，她需要给每只鸡喂 6 杯 feed。

答案：6",6.0,False,1.0,4,medium
Kylar 去商店为新公寓购买玻璃杯。一个玻璃杯 5 美元，但第二个玻璃杯售价仅为原价的 60%。Kylar 想买 16 个玻璃杯。他需要付多少钱？,64,"首先，计算第二个玻璃杯的单价：5 美元的 60% 是 0.6 * 5 美元 = 3 美元。因此，第二个玻璃杯的价格为 5 美元 - 3 美元 = 2 美元。

接下来，计算 16 个玻璃杯的总成本：16 * 5 美元 = 80 美元。

答案：80",80.0,False,1.0,5,medium
图卢兹的绵羊数量是查尔斯顿的两倍。查尔斯顿的绵羊数量是西雅图的 4 倍。如果西雅图有 20 只绵羊，图卢兹、查尔斯顿和西雅图一共有多少只绵羊？,260,"首先，确定西雅图的绵羊数量：20 只。
接下来，计算查尔斯顿的绵羊数量：20 * 4 = 80 只。
然后，确定图卢兹的绵羊数量：80 * 2 = 160 只。
最后，将所有三个城市的绵羊数量相加：20 + 80 + 160 = 260 只。

答案：260",260.0,True,1.0,6,hard
卡拉正在下载一个 200 GB 的文件。正常情况下，她每分钟可以下载 2 GB，但在下载了 40% 的时候，Windows 强制重新启动以安装更新，而这个过程需要 20 分钟。然后卡拉不得不从头重新下载。下载这份文件需要多长时间？,160,"**推理步骤：**
1. **文件大小：** 200 GB
2. **正常下载速度：** 每分钟 2 GB
3. **下载时间（正常）：**
   \[
   \frac{200 \text{ GB}}{2 \text{ GB/min}} = 100 \text{ 分钟}
   \]
4. **下载完成前的时间：**
   \[
   100 \text{ 分钟} \times 40\% = 40 \text{ 分钟}
   \]
5. **Windows 强制重新启动：** 在下载完成前 20 分钟
6. **重新下载时间：**
   \[
   20 \text{ 分钟}
   \]
7. **重新下载后的总时间：**
   \[
   40 \text{ 分钟} + 20 \text{ 分钟} = 60 \text{ 分钟}
   \]

**答案：** 60",60.0,False,1.0,7,hard
约翰以每小时 60 英里的速度开了 3 小时，然后掉头，因为他意识到自己把非常重要的东西忘在家里了。他尽量在 4 小时后赶到家，但前 2 个小时都消耗在堵塞的交通中了。在接下来的半个小时，他以每小时 30 英里的速度驾驶，然后在 4 小时剩下的时间里，才能以每小时 80 英里的速度行驶。4 个小时结束后，他距离家还有多远？,45,"约翰以每小时 60 英里的速度开了 3 小时，行驶了 3 * 60 = 180 英里。然后，他以每小时 30 英里的速度行驶了 2 小时，行驶了 2 * 30 = 60 英里。接下来，他以每小时 80 英里的速度行驶了 4 小时，行驶了 4 * 80 = 320 英里。总共，他行驶了 180 + 60 + 320 = 560 英里。为了到达家，他必须行驶剩余的距离，即 560 英里 - 560 英里 = 0 英里。因此，答案是：

答案：0",0.0,False,1.0,8,hard
伊莉莎每周工作的前 40 个小时的时薪是 10 美元。她加班还能获得标准时薪 1.2 倍的工资。如果 Eliza 这周工作了 45 小时，她这周的收入是多少？,460,"伊莉莎的每周标准工资为 40 小时 × 10 美元 = 400 美元。她加班了 45 - 40 = 5 小时。她的加班工资为 5 小时 × 10 美元 × 1.2 = 60 美元。因此，她这周的总收入为 400 美元 + 60 美元 = 460 美元。

答案：460",460.0,True,1.0,9,medium
一款新程序在第一个月被下载了 60 次，第二个月的下载次数是第一个月下载次数的三倍，但第三个月的下载次数减少了 30%。三个月来，这款程序一共被下载了多少次？,366,"第一个月的下载次数：60
第二个月的下载次数：3 * 60 = 180
第三个月的下载次数：180 - (30% of 180) = 180 - 54 = 126
总下载次数：60 + 180 + 126 = 366
答案：366",366.0,True,1.0,10,hard
图拉去烘焙店买了各种不同的糕点。她买了 3 打甜甜圈（每打 68 美元）、2 打迷你纸杯蛋糕（每打 80 美元）和 6 打迷你奶酪蛋糕（每打 55 美元）。总共花了多少钱？,694,"首先，计算甜甜圈的成本：3 打甜甜圈 × 每打 68 美元 = 3 × 68 = 204 美元。

接下来，计算迷你纸杯蛋糕的成本：2 打迷你纸杯蛋糕 × 每打 80 美元 = 2 × 80 = 160 美元。

然后，计算迷你奶酪蛋糕的成本：6 打迷你奶酪蛋糕 × 每打 55 美元 = 6 × 55 = 330 美元。

最后，将所有成本相加：204 美元 + 160 美元 + 330 美元 = 694 美元。

答案：694",694.0,True,1.0,11,medium
卡洛斯在种一棵柠檬树。种这棵树需要花 90 美元。这颗树每年会结出 7 棵柠檬，每颗能卖 1.5 美元。每年给这棵树浇水和施肥需要花 3 美元。他需要用多少年才能开始从这棵柠檬树上赚到钱？,13,"**推理步骤：**
1. **初始成本**：种植柠檬树需要花费 90 美元。
2. **年收入**：每年从树上获得的柠檬数量为 7 棵，每颗售价 1.5 美元，因此总收入为 7 × 1.5 = 10.5 美元。
3. **年支出**：每年给树浇水和施肥的费用为 3 美元。
4. **净收益计算**：每年净收益为 10.5 美元（收入） - 3 美元（支出）= 7.5 美元。
5. **突破点**：要确定卡洛斯需要用多少年才能开始赚钱，需解方程：7.5 = 10.5 × n，其中 n 为年数。解得 n = 7.5 / 10.5 ≈ 0.71 年。
6. **结果**：由于卡洛斯不能在部分年份中开始赚钱，因此他需要等待 1 年。

答案：1",1.0,False,1.0,12,hard
