question,original_answer,truncated_cot,generated_text,is_correct
জেনেটের হাঁসগুলি প্রতিদিন 16টি করে ডিম পাড়ে। তিনি প্রতিদিন প্রাতরাশে তিনটি করে ডিম খান এবং বন্ধুদের জন্য প্রতিদিন চারটি ডিম দিয়ে মাফিন তৈরি করেন। অবশিষ্ট হাঁসের ডিমগুলি তিনি প্রতিদিন কৃষকদের বাজারে প্রতি ডিম $2 দরে বিক্রয় করেন। তিনি কৃষকদের বাজারে প্রতিদিন কত ডলার উপার্জন করেন?,18,"**পদক্ষেপ ১:** জেনেটের প্রতিদিন মোট কতটি ডিম পাড়েন?
জেনেটের হাঁসগুলি প্রতিদিন 16টি করে ডিম পাড়ে।

**পদক্ষেপ ২:** প্রতিদিন কতটি ডিম খায় বা দান করেন?
- প্রাতরাশে 3টি ডিম খায়।","- জন্য প্রতিদিন চারটি ডিম দিয়ে মাফিন তৈরি করেন।
- মোট: 3 + 4 = 7টি ডিম খায় বা দান করেন।

**পদক্ষেপ ৩:** অবশিষ্ট হাঁসের ডিমগুলি কতটি?
16 - 7 = 9টি ডিম অবশিষ্ট।

**পদক্ষেপ ৪:** কৃষকদের বাজারে প্রতিডিম কতটি বিক্রয় করেন?
9টি ডিম $2 দরে বিক্রয় করলে মোট উপার্জন: 9 * $2 = $18।


Answer in box: **$18**
The answer is \boxed{18}।
Explanation: জেনেটের হাঁসগুলি প্রতিদিন 16টি ডিম পাড়ে। তিনি প্রতিদিন প্রাতরাশে 3টি ডিম খায় বা দান করেন এবং জন্য প্রতিদিন চারটি ডিম দিয়ে মাফিন তৈরি করেন। অবশিষ্ট হাঁসের ডিমগুলি 9টি। তিনি কৃষকদের বাজারে প্রতিডিম $2 দরে বিক্রয় করলে মোট উপার্জন: 9 * $2 = $18। সুতরাং, জেনেটের কৃষকদের বাজারে প্রতিদিন $18 উপার্জন করেন। The answer is \boxed{18}।
Explanation: জেনেটের হাঁসগুলি প্রতিদিন 16টি",True
একটি পোশাক তৈরি করতে 2 রিল নীল সুতো এবং তার অর্ধেক সাদা সুতো লাগে। এটি তৈরি করতে মোট কতগুলি রিল লাগবে?,3,"**পদক্ষেপ ১:** একটি পোশাক তৈরি করতে 2 রিল নীল সুতো লাগে।
**পদক্ষেপ ২:** সাদা সুতো লাগে নীল সুতোর অর্ধেক পরিমাণ, যা হল 2 / 2 = 1 রিল।","**পদক্ষেপ ৩:** সুতরাং, মোট রিল সংখ্যা হল 2 + 1 = 3 রিল।

Answer: 3 রিল
**Explanation:** পোশাকটি তৈরিতে মোট 3 রিল সুতা লাগে, যা নীল সুতা 2 রিল এবং সাদা সুতা 1 রিল (নীল সুতার অর্ধেক) ব্যবহার করে তৈরি করা হয়। এই হিসাবটি পদক্ষেপ ১ এবং পদক্ষেপ ২ থেকে স্পষ্টভাবে প্রমাণিত হয়। সুতরাং, সঠিক উত্তর হল **3 রিল**।",True
"জোশ একটি বাড়ি ফ্লিপ করার সিদ্ধান্ত নিয়েছেন। তিনি $80,000-এ একটি বাড়ি ক্রয় করলেন এবং $50,000 দিয়ে মেরামত করলেন। এর ফলে বাড়িটির মূল্য 150% বৃদ্ধি পেল। তিনি কত ডলার লাভ করলেন?",70000,"**পদক্ষেপ ১:** প্রথমে, বাড়ির মূল ক্রয়মূল্য এবং মেরামতের খরচ যোগ করুন।
- ক্রয়মূল্য: \$80,000
- মেরামতের খরচ: \$50,000
- মোট খরচ: \$80,000 + \$50,000 = \$130,000","**পদক্ষেপ ২:** বাড়ির মূল্য 1500% বৃদ্ধি পেলে, তিহা মূল্যের বৃদ্ধি \$1500% ক্রয়মূল্যের সমতুল্য।
- মূল্যের বৃদ্ধি: \$8,0,0,0 * 1500% = \$1,2,0,0,0

**পদক্ষেপ ৩:** মূল্যের বৃদ্ধি ক্রয়মূল্যে যোগ করে মোট লাভ গণনা করা যায়।
- মোট লাভ: \$1,2,0,0,0 + \$1,3,0,0,0 = \$2,5,0,0,0

**পদক্ষেপ ৪:** মূল্যের বৃদ্ধি ক্রয়মূল্যের সমতুল্য হওয়ায়, তিহা মূল্যের বৃদ্ধি ক্রয়মূল্যের সমতুল্য হয়।
- মূল্যের বৃদ্ধি: \$1,2,0,0,0 = \$1,3,0,0,0 (ক্রয়মূল্যের সমতুল্য)

**পদক্ষেপ ৫:** মোট লাভ গণনা করা হয় ক্রয়মূল্য এবং মূল্যের বৃদ্ধি যোগ করে।
- মোট লাভ: \$1,3,0,0,0 (ক্রয়মূল্য) + \$1,2,0,0,0 (মূল্যের বৃদ্ধি) = \$2,5,0,0,0

**পদক্ষেপ ৬:** মোট লাভ \$2,5,0,0,0।

**Final Answer:** জোশ \$2,5,0,0,0 ল",False
জেমস এক সপ্তাহে 3 বার 3টি স্প্রিন্টে দৌড়ানোর সিদ্ধান্ত নিয়েছেন। তিনি প্রতি স্প্রিন্টে 60 মিটার করে দৌড়ান। তিনি এক সপ্তাহে মোট কত মিটার করে দৌড়ান?,540,"**পদক্ষেপ ১:** জেমস প্রতি স্প্রিন্টে কত দূরত্ব দৌড়ান, তা নির্ণয় করুন।
প্রতি স্প্রিন্টে দূরত্ব = 60 মিটার।

**পদক্ষেপ ২:** তিনি এক সপ্তাহে মোট কতটি স্প্রিন্ট করেন, তা নির্ণয় করুন।","স্প্রিন্টের সংখ্্যা = 3।

**পদক্ষেপ ৩:** এক সপ্তাহে মোট দৌড়ান দূরত্ব নিয়েছেন, তা গণনা করুন।
মোট দৌড়ান দূরত্ব = প্রতি স্প্রিন্টে দূরত্ব × স্প্রিন্টের সংখ্্যা।
মোট দৌড়ান দূরত্ব = 60 মিটার/স্প্রিন্ট × 3 স্প্রিন্ট = 180 মিটার।

**উত্তর:** জেমস এক সপ্তাহে 180 মিটার দৌড়ান করে।

**উত্তর:** জেমস এক সপ্তাহে 180 মিটার দৌড়ান করে।",False
"ওয়েন্ডি প্রতিদিন তাঁর প্রত্যেকটি মুরগিকে সুস্থ রাখার জন্য তিন কাপ করে মুরগির খাবারের মিশ্রণ খাওয়ান যাতে দানা, মিলওয়ার্ম এবং সব্জি থাকে। তিনি মুরগিদের তিনবারে আলাদা-আলাদা করে খাবার দেন। সকালে, তিনি মুরগির ঝাঁককে 15 কাপ খাবার দেন। বিকেলে, মুরগিদের তিনি আরও 25 কাপ খাবার দেন। ওয়েন্ডির মুরগির ঝাঁকে যদি 20টি মুরগি থাকে তাহলে মুরগিদের দিনের শেষ খাবার খাওয়ানোর জন্য তাঁকে কত কাপ খাবার দিতে হবে?",20,"**সমস্যা:**
ওয়েন্ডি প্রতিদিন তাঁর প্রত্যেকটি মুরগিকে সুস্থ রাখার জন্য তিন কাপ করে মুরগির খাবারের মিশ্রণ খাওয়ান, যাতে দানা, মিলওয়ার্ম এবং সব্জি থাকে। তিনি মুরগিদের তিনবারে আলাদা-আলাদা করে খাবার দেন। সকালে, তিনি মুরগির ঝাঁককে 15 কাপ খাবার দেন। বিকেলে, মুরগিদের তিনি আরও 25 কাপ খাবার দেন। ওয়েন্ডির মুরগির ঝাঁকে যদি 20টি মুরগি থাকে তাহলে মুরগিদের দিনের শেষ খাবার খাওয়ানোর জন্য তাঁকে কত কাপ খাবার দিতে হবে?

**সমাধান:**
1. **মুরগির সংখ্যা:** 20টি মুরগি।
2. **প্রতি মুরগির জন্য খাবারের পরিমাণ:** 3 কাপ।","**সমাধান প্রক্রিয়া:**
1. **মুর্শদ খাবারের পরিমাণ গণনা:**
   - সকালে: 15 কাপ
   - বিকেলে: 25 কাপ
   - **মুর্শদ পরিমাণ:** 15 + 25 = 40 কাপ

2. **মুর্শদ পরিমাণকে মুরগির সংখ্যায় ভাগ:**
   - **প্রতি মুরগির জন্য খাবারের পরিমাণ:** 40 / 20 = 2 কাপ

3. **শেষ খাবারের পরিমাণ গণনা:**
   - **শেষ পরিমাণ:** 40 - (20 × 2) = 0 কাপ

**সমাধান:** ওয়েন্ডির মুরগির ঝাঁকে 20টি মুরগি থাওয়া হওযা হইল, তবুও মুরগিদের দিনের শেষ খাবার খাওয়ানোর জন্য ওয়েন্ডিকে **0 কাপ** খাবার দিততে হব।

**উত্তর:** 0 কাপ।",True
"কাইলার তাঁর নতুন অ্যাপার্টমেন্টের জন্য কাঁচ কিনতে দোকানে গিয়েছিলেন। একটি কাঁচের দাম $5, কিন্তু প্রতি দ্বিতীয় গ্লাসের জন্য দাম হয় মূল্যের 60% মাত্র। কাইলার 16টি কাঁচ কিনতে চান। এগুলির জন্য তাঁকে কত ডলার অর্থপ্রদান করতে হবে?",64,"**পদক্ষেপ ১:**
প্রথমে, প্রতিটি কাঁচের দাম বের করা যাক। একটি কাঁচের দাম $5।

**পদক্ষেপ ২:**
প্রতি দ্বিতীয় গ্লাসের জন্য দাম মূল্যের 60%। সুতরাং, প্রতি দ্বিতীয় কাঁচের দাম হবে:
\[ 5 \times 0.60 = \$3 \]

**পদক্ষেপ ৩:**","কাঁচের মোট দাম হয়:
\[ 16 \times 3 = \$48 \]

**পদক্ষেপ ৪:**
সুতরাং, কাইলাড়ের 16টি কাঁচের জন্য অর্থপ্রদান করতে হবের মোট দাম হয়:
\[ \$48 \]

**উত্তর:** কাইলাড়ের 16টি কাঁচের জন্য অর্থপ্রদান করতে হবের মোট দাম হয়: **\$48**।

**উত্তর:** \boxed{48}",False
"টুলুজের কাছে চার্লস্টনের থেকে দুইগুণ বেশি ভেড়া রয়েছে। চার্লস্টনের কাছে সিয়াটলের থেকে 4গুণ বেশি ভেড়া রয়েছে। যদি সিয়াটলের কাছে 20টি ভেড়া থাকে তাহলে টুলুজ, চার্লস্টন এবং সিয়াটলের কাছে সর্বমোট কতগুলি করে ভেড়া আছে?",260,"**ধাপ ১:** সিয়াটলের ভেড়ার সংখ্যা চিহ্নিত করুন।
**ধাপ ২:** চার্লস্টনের ভেড়ার সংখ্যা বের করুন।
**ধাপ ৩:** টুলুজের ভেড়ার সংখ্যা বের করুন।","**ধাপ ৪:** টুলুজ, চার্লস্টন এবং সিয়াটলের কাছে মোট কতগুলি করে ভেড়া রয়েছে, তা বের করুন।

Solution:
```
40, 80, 200
```

**ধাপ ১:** সিয়াটলের ভেড়ার সংখ্যা চিহ্নিত করুন।
**ধাপ ২:** চার্লস্টনের ভেড়ার সংখ্যা বের করুন।
**ধাপ ৩:** টুলুজের ভেড়ার সংখ্যা বের করুন।
**ধাপ ৪:** টুলুজ, চার্লস্টন এবং সিয়াটলের কাছে মোট কতগুলি করে ভেড়া রয়েছে, তা বের করুন।

**ধাপ ১:** সিয়াটলের ভেড়ার সংখ্যা চিহ্নিত করুন।
**ধাপ ২:** চার্লস্টনের ভেড়ার সংখ্যা বের করুন।
**ধাপ ৩:** টুলুজের ভেড়ার সংখ্যা বের করুন।
**ধাপ ৪:** টুলুজ, চার্লস্টন এবং সিয়াটলের কাছে মোট কতগুলি করে ভেড়া রয়েছে, তা বের করুন।

**ধাপ ১:** সিয়াটলের ভেড়ার সংখ্যা চিহ্নিত করুন।
**ধাপ ২:** চার্লস্টনের ভেড়ার সংখ্যা বের করুন।
**ধাপ ৩:** টুলুজের ভ",False
"কার্লা 200 GB-এর একটি ফাইল ডাউনলোড করছেন। সাধারণত তিনি 2 GB/মিনিট হিসেবে ডাউনলোড করতে পারেন, কিন্তু 40% ডাউনলোড হওয়ার পরে, Windows আপডেট ইনস্টল করার জন্য রিস্টার্ট হতে শুরু করে, যা 20 মিনিট সময় নেয়। এরপর কার্লাকে ডাউনলোডটিকে পুনরায় শুরু করতে হয়। ফাইলটি ডাউনলোড করার জন্য কতটা লোড লাগবে?",160,"**ধাপ ১: ফাইলের 40% ডাউনলোড করার জন্য প্রয়োজনীয় সময় গণনা করুন।**

ফাইলের মোট আকার 200 GB। 40% ডাউনলোড করার জন্য প্রয়োজনীয় ডেটা:
\[
200 \text{ GB} \times 40\% = 80 \text{ GB}
\]

**ধাপ ২: 80 GB ডাউনলোড করতে কত মিনিট লাগবে।**

ডাউনলোড রেট 2 GB/মিনিট। 80 GB ডাউনলোড করতে সময়:
\[
\frac{80 \text{ GB}}{2 \text{ GB/মিনিট}} = 40 \text{ মিনিট}","\]

**ধাপ ৩: রিস্টার্ট সময় যোগ করুন।**

রিস্টার্ট সময় 20 মিনিট। মোট সময়:
\[
40 \text{ মিনিট} + 20 \text{ মিনিট} = 60 \text{ মিনিট}
\]

**উত্তর:** ফাইলটিকে ডাউনলোড করার জন্য মোট সময় **60 মিনিট** লাগবে।

**উত্তর:** \boxed{60} মিনিট।",False
"জন প্রতি ঘণ্টায় 60 মাইল বেগে 3 ঘণ্টা গাড়ি চালানোর পরে বুঝতে পারেন যে তিনি বাড়িতে গুরুত্বপূর্ণ কিছু ভুলে এসেছেন এবং তাই তিনি ফিরে যান। তিনি 4 ঘণ্টায় বাড়ি ফেরার চেষ্টা করেন কিন্তু প্রথম 2 ঘণ্টা তাঁর ট্রাফিক জ্যামে ব্যয় হয়ে যায়। পরবর্তী আধ-ঘণ্টা তিনি প্রতি ঘণ্টা 30 মাইল বেগে গাড়ি চালানোয় ব্যয় করেন, অবশিষ্ট 4 ঘণ্টায় তিনি প্রতি ঘণ্টা 80 মাইল বেগে গাড়ি চালাতে সক্ষম হন। 4 ঘণ্টার শেষে তিনি বাড়ি থেকে কতদূরে আছেন?",45,"**সমস্যা বিশ্লেষণ:**
জন 60 মাইল/ঘণ্টা বেগে 3 ঘণ্টা গাড়ি চালানোর পরে বুঝতে পারেন যে তিনি বাড়িতে গুরুত্বপূর্ণ কিছু ভুলে গেছেন। তারপর তিনি 4 ঘণ্টায় বাড়ি ফেরার চেষ্টা করেন, কিন্তু প্রথম 2 ঘণ্টা ট্রাফিক জ্যামে ব্যয় হয়। পরবর্তী আধ-ঘণ্টায় তিনি প্রতি ঘণ্টা 30 মাইল বেগে গাড়ি চালান, এবং অবশিষ্ট 4 ঘণ্টায় প্রতি ঘণ্টা 80 মাইল বেগে গাড়ি চালান।

**পদক্ষেপ ১: প্রথম 2 ঘণ্টা ট্রাফিক জ্যামে ব্যয়**
- জন 60 মাইল/ঘণ্টা বেগে 2 ঘণ্টা গাড়ি চালান।
- দূরত্ব = 60 মাইল/ঘণ্টা × 2 ঘণ্টা = 120 মাইল
","- ট্রাফিক জ্যামে বেগে, গাড়ি 60 মাইল/ঘণ্টা বেগে চালতে পারত না, তাই দূরত্ব হয় 60 মাইল/ঘণ্টা × 1 ঘণ্টা = 60 মাইল।
- ট্রাফিক জ্যামে বেগে 2 ঘণ্টা গাড়ি চালানোর পর, অবশিষ্ট দূরত্ব = 120 - 60 = 60 মাইল।

**পদক্ষেপ ২: পরবর্তী আধ-ঘণ্টায় প্রতি ঘণ্টা 30 মাইল বেগে গাড়ি চালান**
- 2 ঘণ্টা গাড়ি চালানোর পর, জন 60 মাইল বেগে গেছেন। তিনি 4 ঘণ্টায় বাড়ি ফেরার চেষ্টা করত, তাই তিনি 2 ঘণ্টা গাড়ি চালান।
- 2 ঘণ্টা গাড়ি চালানোর পর, তিনি 60 মাইল বেগে গেছেন, তাই তিনি 4 ঘণ্টায় বাড়ি ফেরার চেষ্টায় 4 ঘণ্টায় - 2 ঘণ্টা = 2 ঘণ্টা গাড়ি চালান।
- 2 ঘণ্টা গাড়ি চালানোর পর, তিনি 60 মাইল বেগে গেছেন, তাই তিনি 4 ঘণ্টায় বাড়ি ফেরার চেষ্টায় 4 ঘণ্টায় - 2 ঘণ্টা = 2 ঘণ",False
"প্রতি সপ্তাহে প্রথম 40 ঘণ্টা কাজ করার জন্য এলিজা প্রতি ঘণ্টায় $10 দরে কাজ করেন। অতিরিক্ত সময় কাজ করার জন্য তিনি তাঁর প্রতি ঘণ্টার নিয়মিত দরের 1.2 গুণ অর্থ পান। যদি এলিজা এই সপ্তাহে 45 ঘণ্টা কাজ করে থাকেন, তাহলে এই সপ্তাহে তাঁর উপার্জন কত?",460,"**ধাপ ১:** এলিজার নিয়মিত ঘণ্টা সংখ্যা নির্ণয় করুন।
- প্রতি সপ্তাহে নিয়মিত ঘণ্টা = 40 ঘণ্টা

**ধাপ ২:** অতিরিক্ত ঘণ্টা সংখ্যা নির্ণয় করুন।
- অতিরিক্ত ঘণ্টা = 45 ঘণ্টা - 40 ঘণ্টা = 5 ঘণ্টা","- অতিরিক্ত ঘণ্টার জন্য দর = নিয়মিত দরর 1.2 গুণ = $10 x 1.2 = $12
- অতিরিক্ত ঘণ্টার উপার্জন = 5 ঘণ্টা x $12 = $60
- প্রতি ঘণ্টায় উপার্জন = নিয়মিত উপার্জন + অতিরিক্ত উপার্জন = $40 + $60 = $100
- প্রতি সপ্তাহে মোট উপার্জন = নিয়মিত উপার্জন + অতিরিক্ত উপার্জন = $100 + $60 = $160

**ধাপ ৩:** প্রতি ঘণ্টায় উপার্জন গুনে মোট উপার্জন নিয়ে গুনে সপ্তাহিক উপার্জন নিয়ে গুনে।
- প্রতি ঘণ্টায় উপার্জন = $10
- মোট উপার্জন = $160
- সপ্তাহিক উপার্জন = $160 / 7 = $22.857142857142858
- সপ্তাহিক উপার্জন = $22.85

**ধাপ ৪:** সপ্তাহিক উপার্জনকে 2 দিয়ে গুনে।
- সপ্তাহিক উপার্জন = $22.85
- সপ্তাহিক উপার্জন = $22.85 x 2 = $45.70

**ধাপ ৫:** সপ্তাহিক উপার্জনকে 2 দিয়ে গুনে।
- সপ্তাহিক উপার্জন = $45.70

**ধাপ ৬:** সপ্তাহিক উপার্জনকে 2 দিয়ে গুনে।
- সপ্তাহিক উপার্জন = $45.70

**ধাপ",False
"একটি নতুন প্রোগ্রাম প্রথম মাসে 60 বার ডাউনলোড করা হয়েছিল। দ্বিতীয় মাসে ডাউনলোডের সংখ্যা প্রথম মাসের ডাউনলোডের থেকে তিনগুণ বেশি ছিল, কিন্তু তারপর তৃতীয় মাসে তা 30% হ্রাস পেয়েছিল। তিন মাসে প্রোগ্রামটিকে মোট কতবার ডাউনলোড করা হয়েছিল?",366,"**পদক্ষেপ ১:**
প্রথম মাসে ডাউনলোডের সংখ্যা = 60

**পদক্ষেপ ২:**","দ্বিতীয় মাসে ডাউনলোডের সীমা = 3 * 60 = 180
**পদক্ষেপ ৩:**

তৃতীয় মাসে ডাউনলোডের সীমা = 30% হ্রাস = 70% অবশিষ্ট
তৃতীয় মাসে ডাউনলোডের সীমা = 0.7 * 30 = 21
তৃতীয় মাসে ডাউনলোডের সীমা = 60 + 21 = 81
তৃতীয় মাসে ডাউনলোডের সীমা = 60 + 21 = 81
তৃতীয় মাসে ডাউনলোডের সীমা = 60 + 21 = 81
তৃতীয় মাসে ডাউনলোডের সীমা = 60 + 21 = 81
তৃতীয় মাসে ডাউনলোডের সীমা = 60 + 21 = 81
তৃতীয় মাসে ডাউনলোডের সীমা = 60 + 21 = 81
তৃতীয় মাসে ডাউনলোডের সীমা = 60 + 21 = 81
তৃতীয় মাসে ডাউনলোডের সীমা = 60 + 21 = 81
তৃতীয় মাসে ডাউনলোডের সীমা = 60 + 21 = 81
তৃতীয় মাসে ডাউনলোডের সীমা = 60 + 21 = 81
তৃতীয় মাসে ডাউনলোডের সীমা = 60 + 21 = 81
তৃতীয় মাসে ডাউনলোডের সীমা = 60 + 21 = 81
তৃতীয় মাসে ড",False
"টুলা বেকারিতে গিয়ে বিভিন্ন রকমের পেস্ট্রি কিনেছিলেন। তিনি $68 ডজন দরে 3 ডজন ডোনাট, $80 ডজন দরে 2 ডজন ছোট কাপকেক, এবং $55 ডজন দরে 6 ডজন মিনি চিজকেক কিনেছিলেন। মোট কত খরচ হয়েছিল?",694,"**পদক্ষেপ ১:** প্রতিটি আইটেমের ডজন সংখ্যা এবং দাম নির্ধারণ করুন।
- ডোনাট: 3 ডজন × $68/ডজন = $204
- ছোট কাপকেক: 2 ডজন × $80/ডজন = $160","- মিনি চিজকেক: 6 ডজন × $55/ডজন = $33
**পদক্ষেপ ২:** সব আইটেমে মোট খরচ গণনা করুন।
মোট খরচ = $204 + $160 + $33 = $299

Answer: 299
-3
-2
-1
0
2
4
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10
-11
-12
-13
-14
-15
-16
-17
-18
-19
-20
-21
-22
-23
-24
-25
-26
-27
-28
-29
-30
-31
-32
-33
-34
-35
-36
-37
-38
-39
-40
-41
-42
-43
-44
-45
-46
-47
-48
-49
-50
-51
-52
-53
-54
-55
-56
-57
-58
-59
-60
-61
-62
-63
-64
-65
-66
-67
-68
-69
-70
-71
-72
-73
-74
-75
-76
-77
-78
-79
-80
-81
-82
-83
-84
-85
-86
-87
-88
-89
-90
-91
-92
-93
-94
-95
-96
-97
-98
-99
-100
-101
-102
-103
-104
-105
-106
-107
-108
-109
-110
-111
-112
-113
-114
-115
-116
-117
-118
-119
-120
-121
-122
-123
-124
-125
-126
-127
-128
-129
-130
-131
-132
-133
-134",False
