"question","answer","cot_answer","extracted_answer","is_correct"
"জেনেটের হাঁসগুলি প্রতিদিন 16টি করে ডিম পাড়ে। তিনি প্রতিদিন প্রাতরাশে তিনটি করে ডিম খান এবং বন্ধুদের জন্য প্রতিদিন চারটি ডিম দিয়ে মাফিন তৈরি করেন। অবশিষ্ট হাঁসের ডিমগুলি তিনি প্রতিদিন কৃষকদের বাজারে প্রতি ডিম $2 দরে বিক্রয় করেন। তিনি কৃষকদের বাজারে প্রতিদিন কত ডলার উপার্জন করেন?","18","**পদক্ষেপ ১:** জেনেটের প্রতিদিন মোট কতটি ডিম পাড়েন?
জেনেটের হাঁসগুলি প্রতিদিন 16টি করে ডিম পাড়ে।

**পদক্ষেপ ২:** প্রতিদিন কতটি ডিম খায় বা দান করেন?
- প্রাতরাশে 3টি ডিম খায়।
- মাফিন তৈরিতে 4টি ডিম দান করেন।
- মোট দান ও খাওয়া: 3 + 4 = 7টি ডিম।

**পদক্ষেপ ৩:** অবশিষ্ট ডিমগুলির সংখ্যা কত?
- মোট ডিম পাড়ার সংখ্যা: 16টি।
- দান ও খাওয়া বাদ দিয়ে অবশিষ্ট: 16 - 7 = 9টি ডিম।

**পদক্ষেপ ৪:** অবশিষ্ট ডিমগুলি বিক্রির মাধ্যমে কত ডলার উপার্জন করেন?
- প্রতি ডিমের মূল্য: $2।
- প্রতিদিন উপার্জন: 9টি × $2 = $18।

**উত্তর:** $18","18","True"
"একটি পোশাক তৈরি করতে 2 রিল নীল সুতো এবং তার অর্ধেক সাদা সুতো লাগে। এটি তৈরি করতে মোট কতগুলি রিল লাগবে?","3","**পদক্ষেপ ১:** একটি পোশাক তৈরি করতে 2 রিল নীল সুতো লাগে।
**পদক্ষেপ ২:** সাদা সুতো লাগে নীল সুতোর অর্ধেক পরিমাণ, যা হল 2 / 2 = 1 রিল।
**পদক্ষেপ ৩:** মোট সুতোর রিল সংখ্যা হল 2 (নীল) + 1 (সাদা) = 3 রিল।
**পদক্ষেপ ৪:** সুতো ছাড়া অন্যান্য সামগ্রীর পরিমাণ উল্লেখ নেই, তাই মোট সুতোর রিল সংখ্যা 3 রিল।

উত্তর: 3","3","True"
"জোশ একটি বাড়ি ফ্লিপ করার সিদ্ধান্ত নিয়েছেন। তিনি $80,000-এ একটি বাড়ি ক্রয় করলেন এবং $50,000 দিয়ে মেরামত করলেন। এর ফলে বাড়িটির মূল্য 150% বৃদ্ধি পেল। তিনি কত ডলার লাভ করলেন?","70000","**পদক্ষেপ ১:** প্রথমে, বাড়ির মূল ক্রয়মূল্য এবং মেরামতের খরচ যোগ করুন।
- ক্রয়মূল্য: \$80,000
- মেরামতের খরচ: \$50,000
- মোট খরচ: \$80,000 + \$50,000 = \$130,000

**পদক্ষেপ ২:** বাড়ির মূল্য 150% বৃদ্ধি পেলে নতুন মূল্য গণনা করুন।
- 150% বৃদ্ধি = 150% × 130,000 = 0.150 × 130,000 = \$19,050
- নতুন মূল্য = 130,000 + 19,050 = \$149,050

**পদক্ষেপ ৩:** জোশের লাভ গণনা করুন।
- লাভ = নতুন মূল্য - মোট খরচ
- লাভ = \$149,050 - \$130,000 = \$19,050

**উত্তর:** \$19,050","19050","False"
"জেমস এক সপ্তাহে 3 বার 3টি স্প্রিন্টে দৌড়ানোর সিদ্ধান্ত নিয়েছেন। তিনি প্রতি স্প্রিন্টে 60 মিটার করে দৌড়ান। তিনি এক সপ্তাহে মোট কত মিটার করে দৌড়ান?","540","**পদক্ষেপ ১:** জেমস প্রতি স্প্রিন্টে কত দূরত্ব দৌড়ান, তা নির্ণয় করুন।
প্রতি স্প্রিন্টে দূরত্ব = 60 মিটার।

**পদক্ষেপ ২:** তিনি এক সপ্তাহে মোট কতটি স্প্রিন্ট করেন, তা নির্ণয় করুন।
এক সপ্তাহে স্প্রিন্টের সংখ্যা = 3।

**পদক্ষেপ ৩:** এক সপ্তাহে মোট কত মিটার দৌড়ান, তা নির্ণয় করুন।
মোট দূরত্ব = প্রতি স্প্রিন্টে দূরত্ব × স্প্রিন্টের সংখ্যা
মোট দূরত্ব = 60 মিটার/স্প্রিন্ট × 3 স্প্রিন্ট
মোট দূরত্ব = 180 মিটার।

**উত্তর:** 180","180","False"
"ওয়েন্ডি প্রতিদিন তাঁর প্রত্যেকটি মুরগিকে সুস্থ রাখার জন্য তিন কাপ করে মুরগির খাবারের মিশ্রণ খাওয়ান যাতে দানা, মিলওয়ার্ম এবং সব্জি থাকে। তিনি মুরগিদের তিনবারে আলাদা-আলাদা করে খাবার দেন। সকালে, তিনি মুরগির ঝাঁককে 15 কাপ খাবার দেন। বিকেলে, মুরগিদের তিনি আরও 25 কাপ খাবার দেন। ওয়েন্ডির মুরগির ঝাঁকে যদি 20টি মুরগি থাকে তাহলে মুরগিদের দিনের শেষ খাবার খাওয়ানোর জন্য তাঁকে কত কাপ খাবার দিতে হবে?","20","**সমস্যা:**
ওয়েন্ডি প্রতিদিন তাঁর প্রত্যেকটি মুরগিকে সুস্থ রাখার জন্য তিন কাপ করে মুরগির খাবারের মিশ্রণ খাওয়ান, যাতে দানা, মিলওয়ার্ম এবং সব্জি থাকে। তিনি মুরগিদের তিনবারে আলাদা-আলাদা করে খাবার দেন। সকালে, তিনি মুরগির ঝাঁককে 15 কাপ খাবার দেন। বিকেলে, মুরগিদের তিনি আরও 25 কাপ খাবার দেন। ওয়েন্ডির মুরগির ঝাঁকে যদি 20টি মুরগি থাকে তাহলে মুরগিদের দিনের শেষ খাবার খাওয়ানোর জন্য তাঁকে কত কাপ খাবার দিতে হবে?

**সমাধান:**
1. **মুরগির সংখ্যা:** 20টি মুরগি।
2. **প্রতি মুরগির জন্য খাবারের পরিমাণ:** 3 কাপ।
3. **মোট খাবারের পরিমাণ (একদিনে):**
   \[
   20 \text{টি মুরগি} \times 3 \text{ কাপ/মুরগি} = 60 \text{ কাপ}
   \]
   ওয়েন্ডি সকালে 15 কাপ এবং বিকেলে 25 কাপ খাবার দেন, মোট 40 কাপ।
4. **অতিরিক্ত খাবারের প্রয়োজন:**
   \[
   60 \text{ কাপ} - 40 \text{ কাপ} = 20 \text{ কাপ}
   \]
   ওয়েন্ডির অতিরিক্ত 20 কাপ খাবারের প্রয়োজন।

**উত্তর:** 20","20","True"
"কাইলার তাঁর নতুন অ্যাপার্টমেন্টের জন্য কাঁচ কিনতে দোকানে গিয়েছিলেন। একটি কাঁচের দাম $5, কিন্তু প্রতি দ্বিতীয় গ্লাসের জন্য দাম হয় মূল্যের 60% মাত্র। কাইলার 16টি কাঁচ কিনতে চান। এগুলির জন্য তাঁকে কত ডলার অর্থপ্রদান করতে হবে?","64","**পদক্ষেপ ১:**
প্রথমে, প্রতিটি কাঁচের দাম বের করা যাক। একটি কাঁচের দাম $5।

**পদক্ষেপ ২:**
প্রতি দ্বিতীয় গ্লাসের জন্য দাম মূল্যের 60%। সুতরাং, প্রতি দ্বিতীয় কাঁচের দাম হবে:
\[ 5 \times 0.60 = \$3 \]

**পদক্ষেপ ৩:**
এখন, 16টি কাঁচের জন্য মোট খরচ গণনা করা যাক। 8টি কাঁচের জন্য প্রতি কাঁচের দাম $5 এবং 8টি কাঁচের জন্য প্রতি কাঁচের দাম $3।

**পদক্ষেপ ৪:**
8টি কাঁচের জন্য মোট খরচ:
\[ 8 \times 5 = \$40 \]

**পদক্ষেপ ৫:**
8টি কাঁচের জন্য প্রতি দ্বিতীয় কাঁচের দাম:
\[ 8 \times 3 = \$24 \]

**পদক্ষেপ ৬:**
16টি কাঁচের জন্য মোট খরচ:
\[ 40 + 24 = \$64 \]

**উত্তর:**
\[
\boxed{64}
\]","64","True"
"টুলুজের কাছে চার্লস্টনের থেকে দুইগুণ বেশি ভেড়া রয়েছে। চার্লস্টনের কাছে সিয়াটলের থেকে 4গুণ বেশি ভেড়া রয়েছে। যদি সিয়াটলের কাছে 20টি ভেড়া থাকে তাহলে টুলুজ, চার্লস্টন এবং সিয়াটলের কাছে সর্বমোট কতগুলি করে ভেড়া আছে?","260","**ধাপ ১:** সিয়াটলের ভেড়ার সংখ্যা চিহ্নিত করুন।
**ধাপ ২:** চার্লস্টনের ভেড়ার সংখ্যা বের করুন।
**ধাপ ৩:** টুলুজের ভেড়ার সংখ্যা বের করুন।
**ধাপ ৪:** মোট ভেড়ার সংখ্যা গণনা করুন।

**ধাপ ১:** সিয়াটলের ভেড়ার সংখ্যা = 20টি।
**ধাপ ২:** চার্লস্টনের ভেড়ার সংখ্যা = 4 * সিয়াটলের ভেড়ার সংখ্যা = 4 * 20 = 80টি।
**ধাপ ৩:** টুলুজের ভেড়ার সংখ্যা = 2 * চার্লস্টনের ভেড়ার সংখ্যা = 2 * 80 = 160টি।
**ধাপ ৪:** মোট ভেড়ার সংখ্যা = সিয়াটলের ভেড়ার সংখ্যা + চার্লস্টনের ভেড়ার সংখ্যা + টুলুজের ভেড়ার সংখ্যা = 20 + 80 + 160 = 260টি।

**উত্তর:** 260","260","True"
"কার্লা 200 GB-এর একটি ফাইল ডাউনলোড করছেন। সাধারণত তিনি 2 GB/মিনিট হিসেবে ডাউনলোড করতে পারেন, কিন্তু 40% ডাউনলোড হওয়ার পরে, Windows আপডেট ইনস্টল করার জন্য রিস্টার্ট হতে শুরু করে, যা 20 মিনিট সময় নেয়। এরপর কার্লাকে ডাউনলোডটিকে পুনরায় শুরু করতে হয়। ফাইলটি ডাউনলোড করার জন্য কতটা লোড লাগবে?","160","**ধাপ ১: ফাইলের 40% ডাউনলোড করার জন্য প্রয়োজনীয় সময় গণনা করুন।**

ফাইলের মোট আকার 200 GB। 40% ডাউনলোড করার জন্য প্রয়োজনীয় ডেটা:
\[
200 \text{ GB} \times 40\% = 80 \text{ GB}
\]

**ধাপ ২: 80 GB ডাউনলোড করতে কত মিনিট লাগবে।**

ডাউনলোড রেট 2 GB/মিনিট। 80 GB ডাউনলোড করতে সময়:
\[
\frac{80 \text{ GB}}{2 \text{ GB/মিনিট}} = 40 \text{ মিনিট}
\]

**ধাপ ৩: Windows আপডেটের জন্য রিস্টার্টের সময় বাদ দিন।**

রিস্টার্টের সময় 20 মিনিট। মোট সময়:
\[
40 \text{ মিনিট} - 20 \text{ মিনিট} = 20 \text{ মিনিট}
\]

**ধাপ ৪: পুনরায় ডাউনলোড শুরু করার জন্য প্রাথমিক 20 GB ডাউনলোড করুন।**

প্রাথমিক 20 GB ডাউনলোড করতে সময়:
\[
\frac{20 \text{ GB}}{2 \text{ GB/মিনিট}} = 10 \text{ মিনিট}
\]

**ধাপ ৫: ফাইলটি সম্পূর্ণ ডাউনলোড করতে মোট সময় গণনা করুন।**

মোট সময় = রিস্টার্টের সময় + পুনরায় ডাউনলোডের সময়:
\[
20 \text{ মিনিট} + 10 \text{ মিনিট} = 30 \text{ মিনিট}
\]

**উত্তর:** 30 মিনিট","30","False"
"জন প্রতি ঘণ্টায় 60 মাইল বেগে 3 ঘণ্টা গাড়ি চালানোর পরে বুঝতে পারেন যে তিনি বাড়িতে গুরুত্বপূর্ণ কিছু ভুলে এসেছেন এবং তাই তিনি ফিরে যান। তিনি 4 ঘণ্টায় বাড়ি ফেরার চেষ্টা করেন কিন্তু প্রথম 2 ঘণ্টা তাঁর ট্রাফিক জ্যামে ব্যয় হয়ে যায়। পরবর্তী আধ-ঘণ্টা তিনি প্রতি ঘণ্টা 30 মাইল বেগে গাড়ি চালানোয় ব্যয় করেন, অবশিষ্ট 4 ঘণ্টায় তিনি প্রতি ঘণ্টা 80 মাইল বেগে গাড়ি চালাতে সক্ষম হন। 4 ঘণ্টার শেষে তিনি বাড়ি থেকে কতদূরে আছেন?","45","**সমস্যা বিশ্লেষণ:**
জন 60 মাইল/ঘণ্টা বেগে 3 ঘণ্টা গাড়ি চালানোর পরে বুঝতে পারেন যে তিনি বাড়িতে গুরুত্বপূর্ণ কিছু ভুলে গেছেন। তারপর তিনি 4 ঘণ্টায় বাড়ি ফেরার চেষ্টা করেন, কিন্তু প্রথম 2 ঘণ্টা ট্রাফিক জ্যামে ব্যয় হয়। পরবর্তী আধ-ঘণ্টায় তিনি প্রতি ঘণ্টা 30 মাইল বেগে গাড়ি চালান, এবং অবশিষ্ট 4 ঘণ্টায় প্রতি ঘণ্টা 80 মাইল বেগে গাড়ি চালান।

**পদক্ষেপ ১: প্রথম 2 ঘণ্টা ট্রাফিক জ্যামে ব্যয়**
- জন 60 মাইল/ঘণ্টা বেগে 2 ঘণ্টা গাড়ি চালান।
- দূরত্ব = 60 মাইল/ঘণ্টা × 2 ঘণ্টা = 120 মাইল

**পদক্ষেপ ২: পরবর্তী আধ-ঘণ্টা 30 মাইল/ঘণ্টা বেগে গাড়ি চালানো**
- জন 30 মাইল/ঘণ্টা বেগে 0.5 ঘণ্টা (30 মিনিট) গাড়ি চালান।
- দূরত্ব = 30 মাইল/ঘণ্টা × 0.5 ঘণ্টা = 15 মাইল

**পদক্ষেপ ৩: অবশিষ্ট 2 ঘণ্টা 80 মাইল/ঘণ্টা বেগে গাড়ি চালানো**
- জন 80 মাইল/ঘণ্টা বেগে 2 ঘণ্টা গাড়ি চালান।
- দূরত্ব = 80 মাইল/ঘণ্টা × 2 ঘণ্টা = 160 মাইল

**পদক্ষেপ ৪: মোট দূরত্ব গণনা**
- প্রথম 2 ঘণ্টা দূরত্ব: 120 মাইল
- পরবর্তী আধ-ঘণ্টা দূরত্ব: 15 মাইল
- অবশিষ্ট 2 ঘণ্টা দূরত্ব: 160 মাইল
- মোট দূরত্ব = 120 + 15 + 160 = 295 মাইল

**উত্তর:** 295","295","False"
"প্রতি সপ্তাহে প্রথম 40 ঘণ্টা কাজ করার জন্য এলিজা প্রতি ঘণ্টায় $10 দরে কাজ করেন। অতিরিক্ত সময় কাজ করার জন্য তিনি তাঁর প্রতি ঘণ্টার নিয়মিত দরের 1.2 গুণ অর্থ পান। যদি এলিজা এই সপ্তাহে 45 ঘণ্টা কাজ করে থাকেন, তাহলে এই সপ্তাহে তাঁর উপার্জন কত?","460","**ধাপ ১:** এলিজার নিয়মিত ঘণ্টা সংখ্যা নির্ণয় করুন।
- প্রতি সপ্তাহে নিয়মিত ঘণ্টা = 40 ঘণ্টা

**ধাপ ২:** অতিরিক্ত ঘণ্টা সংখ্যা নির্ণয় করুন।
- অতিরিক্ত ঘণ্টা = 45 ঘণ্টা - 40 ঘণ্টা = 5 ঘণ্টা

**ধাপ ৩:** নিয়মিত ঘণ্টার জন্য উপার্জন গণনা করুন।
- নিয়মিত ঘণ্টার জন্য উপার্জন = 40 ঘণ্টা × $10/ঘণ্টা = $400

**ধাপ ৪:** অতিরিক্ত ঘণ্টার জন্য উপার্জন গণনা করুন।
- অতিরিক্ত ঘণ্টার জন্য উপার্জন = 5 ঘণ্টা × ($10 + 1.2 × $10) = 5 ঘণ্টা × $22 = $110

**ধাপ ৫:** মোট উপার্জন গণনা করুন।
- মোট উপার্জন = নিয়মিত ঘণ্টার জন্য উপার্জন + অতিরিক্ত ঘণ্টার জন্য উপার্জন = $400 + $110 = $510

**উত্তর:** $510","510","False"
