"question","answer","cot_answer","extracted_answer","is_correct"
"Bata wa Janet hutaga mayai 16 kila siku. Huwa anakula matatu wakati wa staftahi kila asubuhi na huokea marafiki zake mafini kila siku kwa mayai manne. Huwa anauza yaliyosalia katika soko la wakulima kila siku kwa $2 kwa kila yai la bata. Huwa anatengeneza pesa ngapi katika dola kila siku katika soko la wakulima?","18","1. **Bata hutaga mayai 16 kila siku.**
2. **Janet anakula mayai 3 kwa asubuhi.**
3. **Janet huokea mafini kwa mayai 4.**
4. **Mayai yaliyosalia:**
   - Jumla ya mayai: 16
   - Mayai yaliyotumiwa: 3 (kuchuliwa) + 4 (kuokea mafini) = 7
   - Mayai yaliyosalia: 16 - 7 = 9
5. **Janet anauza kila yai kwa $2.**
6. **Mapato ya kila siku:**
   - Idadi ya mayai yaliyouzwa: 9
   - Mapato: 9 × $2 = $18

Jibu: 18","18","True"
"Joho hutumia komeo 2 za ufumwele wa buluu na nusu ya kiasi hicho cha ufumwele mweupe. Huwa inatumia jumla ya komeo ngapi?","3","Joho hutumia komeo 2 za ufumwele wa buluu na nusu ya kiasi hicho (1/2) cha ufumwele mweupe, ambayo ni 1/2 komeo. Kwa jumla, inaongeza 2 + 1/2 = 2 1/2 komeo. Kwa kuwa swali linatafuta idadi ya integer ya komeo, jibu ni 3.
Jibu: 3","3","True"
"Josha anaamua kujaribu kununua nyumba na kuuza kwa faida. Ananunua nyumba kwa $80,000 na kutumia $50,000 kuikarabati. Hii iliongeza thamani ya nyumba hiyo kwa 150%. Alipata faida ya kiasi gani?","70000","1. **Hesabu ya Thamani ya Nyumba Baada ya Ukarabati:**
   - Thamani ya awali ya nyumba: $80,000
   - Ongezeko la 150% ya thamani ya nyumba:
     \[
     150\% \text{ ya } \$80,000 = 1.5 \times \$80,000 = \$120,000
     \]
   - Thamani ya nyumba baada ya ukarabati:
     \[
     \$80,000 + \$120,000 = \$200,000
     \]

2. **Hesabu ya Faida:**
   - Bei ya uuzaji (au thamani ya nyumba baada ya ukarabati): \$200,000
   - Bei ya ununuzi (au thamani ya nyumba ya awali): \$80,000
   - Bei ya ukarabati: \$50,000
   - Jumla ya gharama:
     \[
     \$80,000 \text{ (ununuzi)} + \$50,000 \text{ (ukarabati)} = \$130,000
     \]
   - Faida:
     \[
     \$200,000 - \$130,000 = \$70,000
     \]

Jibu: 70000","70000","True"
"James anaamua kukimbia mbio 3 fupi mara 3 kwa wiki. Anakimbia mita 60 kwa kila mbio fupi. Huwa anakimbia jumla ya mita ngapi kwa wiki?","540","Ili kutatua tatizo hili, tunahitaji kuhesabu jumla ya umbali ambayo James anakimbia kwa wiki.

**Hatua za mantiki:**
1. James anakimbia mbio 3 fupi kwa wiki.
2. Kila mbio fupi ni mita 60.
3. Jumla ya umbali kwa wiki = Idadi ya mbio fupi × Umbali kwa kila mbio fupi
4. Jumla ya umbali kwa wiki = 3 mbio fupi × 60 mita/mbio fupi

**Hesabu:**
3 × 60 = 180

Jibu: 180","180","False"
"Kila siku, Wendi hulisha kila mmoja kati ya kuku wake vikombe vitatu vya chakula mseto cha kuku, kilicho na mbegu, wadudu na mboga ili kusaidia kudumisha afya yao nzuri. Yeye hupatia kuku hao chakula chao katika milo mitatu tofauti. Asubuhi, huwapa kuku wake vikombe 15 vya chakula. Mchana, huwapa kuku wake vikombe vingine 25 vya chakula. Anahitaji kuwapa kuku wake vikombe vingapi vya chakula katika mlo wa mwisho wa siku iwapo idadi ya kuku wa Wendi ni kuku 20?","20","Ili kutatua tatizo hili, hebu tuchambue hatua kwa hatua:

1. **Hesabu jumla ya chakula kinachohitajika kwa siku:**
   - Kila kuku hulisha vikombe 3 vya chakula kwa siku.
   - Wendi ana kuku 20.
   - Jumla ya chakula kinachohitajika kwa siku = 20 kuku × 3 vikombe/kuku = 60 vikombe.

2. **Hesabu chakula kilichotolewa tayari:**
   - Asubuhi, Wendi huwapa kuku wake vikombe 15 vya chakula.
   - Mchana, huwapa vikombe 25 vya chakula.
   - Jumla ya chakula kilichotolewa tayari = 15 vikombe (asubuhi) + 25 vikombe (mchana) = 40 vikombe.

3. **Amua chakula kinachohitajika kwa mlo wa mwisho wa siku:**
   - Jumla ya chakula kinachohitajika = 60 vikombe.
   - Chakula kilichotolewa tayari = 40 vikombe.
   - Chakula kinachohitajika kwa mlo wa mwisho wa siku = 60 vikombe - 40 vikombe = 20 vikombe.

Jibu: 20","20","True"
"Kylar alienda kwa duka kununua vioo vya jengo lake jipya. Kioo kimoja kinagharimu $5, lakini kila kioo cha pili kinagharimu 60% pekee ya bei. Kylar anataka kununua vioo 16. Anahitaji kulipa pesa ngapi kwa vioo hivyo?","64","Hebu tuchambue tatizo hatua kwa hatua:

1. **Gharama ya Kioo cha Kwanza:**
   - Kioo kimoja kinagharimu $5.

2. **Gharama ya Vioo vya Pili na Zaidi:**
   - Kila kioo cha pili kinagharimu 60% ya bei ya kioo cha kwanza.
   - 60% ya $5 ni \( 5 \times 0.60 = 3 \).
   - Kwa hivyo, kila kioo cha pili kinagharimu \( 5 + 3 = 8 \) dola.

3. **Hesabu ya Jumla ya Vioo:**
   - Kylar anataka kununua vioo 16.
   - Kioo cha kwanza kinagharimu $5.
   - Vioo 15 vilivyofuata (kioo cha pili hadi cha kumi na nne) kila kimoja kinagharimu $8.

4. **Hesabu ya Jumla ya Gharama:**
   - Gharama ya kioo cha kwanza: \( 1 \times 5 = 5 \) dola.
   - Gharama ya vioo 15 vilivyofuata: \( 15 \times 8 = 120 \) dola.
   - Jumla ya gharama: \( 5 + 120 = 125 \) dola.

Jibu: 125","125","False"
"Toulouse lina kondoo mara mbili ya idadi ya kondoo katika Charleston. Charleston lina kondoo mara 4 ya idadi ya kondoo katika Seattle. Majiji ya Toulouse, Charleston, na Seattle yana jumla ya kondoo wangapi kwa pamoja iwapo Seattle lina kondoo 20?","260","Kwanza, hesabu idadi ya kondoo katika Seattle:
Seattle lina kondoo 20.

Kisha, hesabu idadi ya kondoo katika Charleston kwa kutumia idadi ya kondoo katika Seattle:
Charleston lina kondoo mara 4 ya idadi ya kondoo katika Seattle:
Charleston = 4 * 20 = 80 kondoo.

Sasa, hesabu idadi ya kondoo katika Toulouse kwa kutumia idadi ya kondoo katika Charleston:
Toulouse lina kondoo mara mbili ya idadi ya kondoo katika Charleston:
Toulouse = 2 * 80 = 160 kondoo.

Mwisho, hesabu jumla ya kondoo katika miji yote mitatu:
Jumla = 20 (Seattle) + 80 (Charleston) + 160 (Toulouse) = 260 kondoo.

Jibu: 260","260","True"
"Carla anapakua faili ya GB 200. Kwa kawaida anaweza kupakua GB 2 kila dakika, lakini akiwa 40% ya upakuaji, Windows hulazimisha kuanza upya ili kupakia visasisho, na huchukua dakika 20. Kisha Carla ni lazima aanze tena kupakua kuanzia mwanzoni. Itamchukua muda gani kupakuafaili hiyo?","160","1. Upakuaji wa Carla unaanza kwa kiwango cha GB 2 kwa dakika, lakini baada ya dakika 20, Windows hulazimisha kuanza upya, na Carla ni lazima aanze upakuaji kutoka mwanzo. Hii inamaanisha kuwa dakika 20 za kwanza hazina ufanisi.
2. Baada ya upya, Carla anaendelea na upakuaji kwa kiwango cha kawaida cha GB 2 kwa dakika.
3. Upakuaji wa faili ya GB 200 unahitaji 200 / 2 = 100 dakika kwa kiwango cha kawaida.
4. Hata hivyo, Carla ni lazima aendelee na upakuaji wa dakika 20 (kwa sababu Windows ilimlazimisha kuanza upya) kabla ya kufikia kiwango cha kawaida.
5. Kwa hivyo, jumla ya muda wa upakuaji ni 100 dakika (kwa kiwango cha kawaida) + 20 dakika (upakuaji wa ziada) = 120 dakika.
6. Badilisha dakika 120 kuwa masaa: 120 dakika ÷ 60 dakika kwa saa = 2 masaa.

Jibu: 2","2","False"
"John huendesha kwa saa 3 kwa kasi ya maili 60 kwa kila saa na kisha kugeuka kwa sababu anagundua kuwa amesahau kitu muhimu sana nyumbani. Anajaribu kurudi nyumbani kwa saa 4 lakini anatumia saa 2 za kwanza katika trafiki isiyosonga. Anatumia nusu saa inayofuata akiendesha kwa kasi ya maili 30 kwa kila saa, kabla ya kuweza kuendesha muda unaosalia kwa saa 4 katika kasi ya maili 80 kwa saa. Yuko umbali upi kutoka nyumbani mwishoni mwa saa hizo 4?","45","Hebu tuchambue safari ya John hatua kwa hatua:

1. **Saa 2 za kwanza za kusafiri:**
   - John anatumia saa 2 akiendesha kwa kasi ya maili 60 kwa saa.
   - Umbali uliosafiriwa: \( 60 \text{ maili/saa} \times 2 \text{ saa} = 120 \text{ maili} \).

2. **Nusu saa inayofuata (saa 0.5) ya kusafiri:**
   - John anatumia nusu saa akiendesha kwa kasi ya maili 30 kwa saa.
   - Umbali uliosafiriwa: \( 30 \text{ maili/saa} \times 0.5 \text{ saa} = 15 \text{ maili} \).

3. **Saa 1.5 za mwisho za kusafiri:**
   - John anatumia saa 1.5 akiendesha kwa kasi ya maili 80 kwa saa.
   - Umbali uliosafiriwa: \( 80 \text{ maili/saa} \times 1.5 \text{ saa} = 120 \text{ maili} \).

**Jumla ya umbali uliosafiriwa:**
- \( 120 \text{ maili} + 15 \text{ maili} + 120 \text{ maili} = 255 \text{ maili} \).

Kwa kuwa John anaanza na kumaliza safari yake nyumbani, umbali wake kutoka nyumbani mwishoni mwa saa 4 ni \( 255 - 0 = 255 \) maili.

Hata hivyo, kwa kuwa tatizo halijataja umbali wa nyumbani, jibu la mwisho ni:

Jibu: 255","255","False"
"Kiwango cha Eliza kila saa kwa saa 40 za kwanza anazofanya kazi kila wiki ni $10. Pia anapokea malipo ya muda wa ziada ya mara 1.2 ya malipo yake ya kawaida ya saa. Iwapo Eliza alifanya kazi kwa saa 45 wiki hii, mapato yake ya wiki hii ni ngapi?","460","1. **Amua malipo ya kawaida ya Eliza kwa saa 40 za kwanza:**
   - Malipo ya kawaida kwa saa = $10
   - Saa 40 za kwanza = 40 saa × $10/saa = $400

2. **Hesabu malipo ya muda wa ziada:**
   - Malipo ya muda wa ziada = 1.2 × Malipo ya kawaida kwa saa
   - Malipo ya muda wa ziada = 1.2 × $10 = $12

3. **Hesabu jumla ya mapato kwa saa 45:**
   - Saa 40 za kwanza = $400
   - Saa 5 za ziada (kwa sababu 45 - 40 = 5) = 5 saa × (Malipo ya kawaida kwa saa + Malipo ya muda wa ziada)
   - Jumla ya mapato = $400 + (5 × ($10 + $12))
   - Jumla ya mapato = $400 + (5 × $22)
   - Jumla ya mapato = $400 + $110
   - Jumla ya mapato = $510

Jibu: 510","510","False"
