question,A,B,C,D,answer,subject
"Ikiwa pembetano P yenye vipeo katika (– 2, – 4), (– 4, 1), (–1, 4), (2, 4), na (3, 0) inaakisiwa kwenye mstari y = x ili kupata pembetano mpya, P', basi moja ya vipeo vya P' ni","(0, – 3)","(4, 1)","(2, 2)","(– 4, –2)",D,high_school_mathematics
"Urefu wa mstatili ni mara mbili upana wake. Kwa kuzingatia kuwa urefu wa kimshazari ni $5\sqrt{5}$, tafuta kipimo cha eneo la mstatili.",2500,2,50,25,C,high_school_mathematics
"Nambari kamili chanya n inaitwa “yenye nguvu” ikiwa, kwa kila zao mtiririko kuu p ya n, p^2 pia ni zao mtiririko la n. Mfano wa nambari yenye nguvu ni",392,336,300,297,A,high_school_mathematics
"Wakati wa kiamsha kinywa, chakula cha mchana na cha jioni, Joe huchagua bila mpangilio maalumu na kwa welekeo sawa aidha tufaha, chungwa au ndizi ya kula. Kwa siku fulani, kuna uwezekano gani kwamba Joe atakula angalau aina mbili tofauti za matunda?",\frac{7}{9},\frac{8}{9},\frac{5}{9},\frac{9}{11},B,high_school_mathematics
"Tuseme $f(x)$ ni namba tegemezi ambayo ina sifa hii: Kwa namba zote halisi $a$ na $b$ hivi kwamba $a<b$, sehemu ya grafu ya $y=f(x)$ kati ya $x=a$ na $x=b$ iko chini ya sehemu ya mstari ambao ncha zake ni $(a,f(a))$ na $(b,f(b))$. (Namba tegemezi yenye sifa hii inaitwa mbinuko hasahasa.) Ikizingatiwa kuwa $f(x)$ hupitia $(-2,5)$ na $(2,9)$, ni kadiri gani ya thamani zote zinazowezekana za $f (1)$? Onyesha jibu lako katika mwandiko wa vipindi.","(-inf, 10)","(-inf, 9)","(-inf, 8)","(-inf, 7)",C,high_school_mathematics
John aligawanya pini zake kofia za ukumbusho katika marundo mawili. Marundo haya mawili yalikuwa na idadi sawa ya pini. Alimpa kaka yake nusu ya theluthi ya rundo moja. John alikuwa amebakia na pini 66. John alikuwa na pini ngapi hapo mwanzoni?,396,72,66,36,B,high_school_mathematics
"Mtaalamu wa hali ya hewa anaripoti kwamba kuna welekeo wa 30% wa mvua na kutokuwa na jua. Ikiwa kuna welekeo wa 40% wa kutokuwa na mvua, basi welekeo wa mvua na jua pamoja ni",0.16,0.24,0.3,0.5,C,high_school_mathematics
"Je, ni jumla gani ya thamani zote za nambari kamili chanya za $n$ hivi kwamba $n^2$ ni zao mtiririko la $1200$?",42,12,36,39,A,high_school_mathematics
Tunarusha dadu isiyopendelea yenye pande 6 mara 5. Kuna welekeo gani kuwa tutapata 6 katika ikienda sana mirusho 2?,\frac{125}{648},\frac{25}{648},\frac{625}{648},\frac{1}{648},C,high_school_mathematics
"Je, ni mifuatano mingapi ya hesabu ya mfulizo wa nambari kamili witiri zina jumla ya 240?",8,12,10,4,B,high_school_mathematics
