"question","answer","cot_run1","extracted_run1","parse_method_run1","correct_run1","cot_run2","extracted_run2","parse_method_run2","correct_run2","cot_run3","extracted_run3","parse_method_run3","correct_run3","majority_vote","vote_status","majority_correct"
"珍妮特的鸭子每天下 16 颗蛋。她每天早上早餐时吃 3 颗，每天用 4 颗为自己的朋友做松饼。剩下的鸭蛋她每天拿去农贸市场卖，每颗新鲜鸭蛋卖 2 美元。她每天在农贸市场赚多少钱？","18","首先，我们需要计算珍妮特每天用掉的鸭蛋总数。她吃掉 3 颗，为朋友做松饼用掉 4 颗，总共用掉 3 + 4 = 7 颗鸭蛋。

然后，我们需要计算她每天剩下的鸭蛋数量。她每天下 16 颗蛋，用掉 7 颗，所以她剩下的鸭蛋数量是 16 - 7 = 9 颗。

最后，我们需要计算她每天在农贸市场赚多少钱。每颗鸭蛋卖 2 美元，她有 9 颗鸭蛋，所以她每天赚 9 * 2 = 18 美元。

答案: 18","18.0","primary","True","首先，我们需要计算珍妮特每天用掉的鸭蛋总数。她吃掉 3 颗，为朋友做松饼用掉 4 颗，总共用掉 3 + 4 = 7 颗鸭蛋。

然后，我们需要计算她每天剩下的鸭蛋数量。她每天下 16 颗蛋，用掉 7 颗，所以她剩下的鸭蛋数量是 16 - 7 = 9 颗。

最后，我们需要计算她每天在农贸市场赚多少钱。每颗鸭蛋卖 2 美元，她有 9 颗鸭蛋，所以她每天赚 9 * 2 = 18 美元。

答案: 18","18.0","primary","True","首先，我们需要计算珍妮特每天用掉的鸭蛋总数。她吃掉 3 颗，为朋友做松饼用掉 4 颗，总共用掉 3 + 4 = 7 颗鸭蛋。

然后，我们需要计算她每天剩下的鸭蛋数量。她每天下 16 颗蛋，用掉 7 颗，所以她剩下的鸭蛋数量是 16 - 7 = 9 颗。

最后，我们需要计算她每天在农贸市场赚多少钱。每颗鸭蛋卖 2 美元，她有 9 颗鸭蛋，所以她每天赚 9 * 2 = 18 美元。

答案: 18","18.0","primary","True","18.0","unanimous","True"
"制作一件袍子需要 2 匹蓝色纤维布料和这个数量一半的白色纤维布料。它一共需要用掉多少匹布料？","3","问题描述：制作一件袍子需要 2 匹蓝色纤维布料和这个数量一半的白色纤维布料。求一共需要多少匹布料。

推理步骤：
1.  确定需要多少匹白色纤维布料。
    袍子需要 2 匹蓝色纤维布料，需要白色纤维布料的数量是蓝色纤维布料的一半，所以需要 2 / 2 = 1 匹白色纤维布料。
2.  计算总共需要的布料数量。
    总共需要的布料数量是蓝色布料的数量加上白色布料的数量，即 2 + 1 = 3 匹。

答案: 3","3.0","primary","True","问题描述：制作一件袍子需要 2 匹蓝色纤维布料和这个数量一半的白色纤维布料。求一共需要多少匹布料。

推理步骤：
1.  确定需要多少匹白色纤维布料。
    袍子需要 2 匹蓝色纤维布料，需要白色纤维布料的数量是蓝色纤维布料的一半，所以需要 2 / 2 = 1 匹白色纤维布料。
2.  计算总共需要的布料数量。
    总共需要的布料数量是蓝色布料的数量加上白色布料的数量，即 2 + 1 = 3 匹。

答案: 3","3.0","primary","True","问题描述：制作一件袍子需要 2 匹蓝色纤维布料和这个数量一半的白色纤维布料。求一共需要多少匹布料。

推理步骤：
1.  确定需要多少匹白色纤维布料。
    白色纤维布料的数量 = 蓝色纤维布料的数量 / 2 = 2 匹 / 2 = 1 匹。
2.  计算总的布料用量。
    总布料用量 = 蓝色纤维布料的数量 + 白色纤维布料的数量 = 2 匹 + 1 匹 = 3 匹。

答案: 3","3.0","primary","True","3.0","unanimous","True"
"乔希决定试试房屋翻新。他花了 80,000 美元买了一套房子，然后投入 50,000 美元进行维修。这样做使房子的价值增加了 150%。他赚了多少利润？","70000","首先，计算维修后的房屋总价值。
房屋的初始价值是 80,000 美元。
价值增加了 150%，这意味着增加的价值是 80,000 * 1.50 = 120,000 美元。
维修后的总价值是 80,000 + 120,000 = 200,000 美元。
然后，计算总成本。
购买房屋的成本是 80,000 美元。
维修的成本是 50,000 美元。
总成本是 80,000 + 50,000 = 130,000 美元。
最后，计算利润。
利润是总价值减去总成本，即 200,000 - 130,000 = 70,000 美元。

答案: 70000","70000.0","primary","True","首先，计算维修后的房屋总价值。
房屋的初始价值是 80,000 美元。
价值增加了 150%，这意味着增加的价值是 80,000 * 1.50 = 120,000 美元。
因此，维修后的房屋总价值是 80,000 + 120,000 = 200,000 美元。
然后，计算总成本。
购买房屋的成本是 80,000 美元。
维修的成本是 50,000 美元。
总成本是 80,000 + 50,000 = 130,000 美元。
最后，计算利润。
利润是总价值减去总成本，即 200,000 - 130,000 = 70,000 美元。

答案: 70000","70000.0","primary","True","首先，计算维修后的房屋总价值。
房屋的初始价值是 80,000 美元。
价值增加了 150%，这意味着增加的价值是 80,000 * 1.50 = 120,000 美元。
因此，维修后的房屋总价值是 80,000 + 120,000 = 200,000 美元。
然后，计算总成本。
购买房屋的成本是 80,000 美元。
维修的成本是 50,000 美元。
总成本是 80,000 + 50,000 = 130,000 美元。
最后，计算利润。
利润是总价值减去总成本，即 200,000 - 130,000 = 70,000 美元。

答案: 70000","70000.0","primary","True","70000.0","unanimous","True"
"詹姆斯决定每周跑 3 次 3 段冲刺，每段冲刺跑 60 米。他每周一共跑多少米？","540","首先，计算詹姆斯每周跑的总冲刺段数。
他每周跑 3 次，每次 3 段冲刺，所以他每周跑 3 * 3 = 9 段冲刺。
然后，计算詹姆斯每周跑的总距离。
每段冲刺 60 米，他每周跑 9 段冲刺，所以他每周跑 9 * 60 = 540 米。

答案: 540","540.0","primary","True","首先，计算詹姆斯每周跑的总冲刺段数。
他每周跑 3 次，每次 3 段冲刺，所以他每周跑 3 * 3 = 9 段冲刺。
然后，计算詹姆斯每周跑的总距离。
每段冲刺 60 米，他每周跑 9 段冲刺，所以他每周跑 9 * 60 = 540 米。

答案: 540","540.0","primary","True","首先，计算詹姆斯每周跑的总冲刺段数。
他每周跑 3 次，每次 3 段冲刺，所以他每周跑 3 * 3 = 9 段冲刺。
然后，计算詹姆斯每周跑的总距离。
每段冲刺跑 60 米，他每周跑 9 段冲刺，所以他每周跑 9 * 60 = 540 米。

答案: 540","540.0","primary","True","540.0","unanimous","True"
"温迪每天给她的每只鸡喂 3 杯含有种子、黄粉虫和蔬菜的混合鸡饲料，以帮助它们保持健康。她给鸡喂 3 顿饲料。上午，她给鸡群喂 15 杯饲料。下午，她给鸡喂 25 杯饲料。如果温迪的鸡群规模达到 20 只，则在一天中的最后一顿，她需要给鸡喂多少杯饲料？","20","首先，我们需要确定温迪每天给鸡喂的总饲料量。
上午喂了 15 杯饲料，下午喂了 25 杯饲料，所以总共喂了 15 + 25 = 40 杯饲料。
温迪每天给每只鸡喂 3 杯饲料，并且她有 3 顿喂饲料。
因此，每天给鸡喂的总饲料量为 3 杯/鸡 * 3 顿 = 9 杯/鸡。
如果鸡群规模达到 20 只，那么需要喂 20 只鸡 * 9 杯/鸡 = 180 杯饲料。
但是，我们已经知道温迪每天喂 40 杯饲料。
问题问的是在鸡群规模达到 20 只时，在最后一顿喂多少杯饲料。
由于温迪每天喂 40 杯饲料，并且她有 3 顿喂饲料，那么在最后一顿喂的饲料量为 40 杯 / 3 顿 = 13.333... 杯/顿。
但是，我们已经计算了如果鸡群规模达到 20 只，需要喂 180 杯饲料。
由于她已经喂了 15 杯（上午）和 25 杯（下午），那么还剩下 180 - 15 - 25 = 140 杯饲料。
最后一顿喂的饲料量为 140 杯 / 3 顿 = 46.666... 杯/顿。
但是，我们已经知道她每天喂 40 杯饲料。
我们计算了每天喂的总饲料量为 40 杯。
如果鸡群规模达到 20 只，那么需要喂 20 只鸡 * 3 杯/只 = 60 杯饲料。
但是，她已经喂了 15 + 25 = 40 杯饲料。
所以，在最后一顿喂的饲料量为 60 - 40 = 20 杯。
但是，问题问的是在鸡群规模达到 20 只时，在最后一顿喂多少杯饲料。
我们知道她每天喂 40 杯饲料。
如果鸡群规模达到 20 只，那么她需要喂","20.0","last_number","True","首先，我们需要确定温迪每天给鸡喂的总饲料量。
上午喂了 15 杯饲料，下午喂了 25 杯饲料，所以总共喂了 15 + 25 = 40 杯饲料。
温迪每天给每只鸡喂 3 杯饲料，并且她有 3 顿喂饲料。
因此，每天给鸡喂的总饲料量为 3 杯/鸡 * 3 顿 = 9 杯/鸡。
如果鸡群规模达到 20 只，那么需要喂 20 只鸡 * 9 杯/鸡 = 180 杯饲料。
但是，我们已经知道温迪每天喂 40 杯饲料。
问题问的是在鸡群规模达到 20 只时，在最后一顿喂多少杯饲料。
由于温迪每天喂 40 杯饲料，并且她有 3 顿喂饲料，那么在最后一顿喂的饲料量为 40 杯 / 3 顿 = 13.333... 杯/顿。
但是，我们已经计算了如果鸡群规模达到 20 只，需要喂 180 杯饲料。
由于她已经喂了 15 杯（上午）和 25 杯（下午），那么还剩下 180 - 15 - 25 = 140 杯饲料。
最后一顿喂的饲料量为 140 杯 / 3 顿 = 46.666... 杯/顿。
但是，我们已经知道她每天喂 40 杯饲料。
我们计算了每天喂的总饲料量为 40 杯。
如果鸡群规模达到 20 只，那么需要喂 20 只鸡 * 3 杯/只 = 60 杯饲料。
但是，她已经喂了 15 + 25 = 40 杯饲料。
所以，在最后一顿喂的饲料量为 60 - 40 = 20 杯。
但是，问题问的是在鸡群规模达到 20 只时，在最后一顿喂多少杯饲料。
我们知道她每天喂 40 杯饲料。
如果鸡群规模达到 20 只，那么她需要喂","20.0","last_number","True","首先，我们需要确定温迪每天给鸡喂的总饲料量。
上午喂了 15 杯饲料，下午喂了 25 杯饲料，所以总共喂了 15 + 25 = 40 杯饲料。
温迪每天给每只鸡喂 3 杯饲料，并且她有 3 顿喂饲料。
因此，每天给鸡喂的总饲料量为 3 杯/鸡 * 3 顿 = 9 杯/鸡。
如果鸡群规模达到 20 只，那么需要喂 20 只鸡 * 9 杯/鸡 = 180 杯饲料。
但是，我们已经知道温迪每天喂 40 杯饲料。
问题问的是在鸡群规模达到 20 只时，在最后一顿喂多少杯饲料。
由于温迪每天喂 40 杯饲料，并且她有 3 顿喂饲料，那么在最后一顿喂的饲料量为 40 杯 / 3 顿 = 13.333... 杯/顿。
但是，我们已经计算了如果鸡群规模达到 20 只，需要喂 180 杯饲料。
由于她已经喂了 15 杯（上午）和 25 杯（下午），那么还剩下 180 - 15 - 25 = 140 杯饲料。
最后一顿喂的饲料量为 140 杯 / 3 顿 = 46.666... 杯/顿。
但是，我们已经知道她每天喂 40 杯饲料。
如果鸡群规模达到 20 只，那么需要喂 20 只鸡 * 3 杯/只 = 60 杯饲料。
上午喂了 15 杯，下午喂了 25 杯，所以总共喂了 15 + 25 = 40 杯。
还剩下 60 - 40 = 20 杯饲料。
最后一顿喂的饲料量为 20 杯 / 3 顿 = 6.666... 杯/顿。
我们计算了每天喂的总饲料量为 40 杯。
如果鸡群规模达到 20 只，那么需要喂 20 只","20.0","last_number","True","20.0","unanimous","True"
"Kylar 去商店为新公寓购买玻璃杯。一个玻璃杯 5 美元，但第二个玻璃杯售价仅为原价的 60%。Kylar 想买 16 个玻璃杯。他需要付多少钱？","64","首先，计算每个玻璃杯的折扣价格。
折扣 = 原价 * 折扣百分比
折扣 = $5 * 60% = $5 * 0.60 = $3

然后，计算 16 个玻璃杯的总成本。
总成本 = 数量 * 每个玻璃杯的折扣价格
总成本 = 16 * $3 = $48

答案: $48","48.0","primary","False","首先，计算每个玻璃杯的折扣价格。
折扣 = 原价 * 折扣百分比
折扣 = $5 * 60% = $5 * 0.60 = $3

然后，计算 16 个玻璃杯的总成本。
总成本 = 数量 * 每个玻璃杯的折扣价格
总成本 = 16 * $3 = $48

答案: $48","48.0","primary","False","首先，计算每个玻璃杯的折扣价格。
折扣 = 原价 * 折扣百分比
折扣 = $5 * 60% = $5 * 0.60 = $3

然后，计算 16 个玻璃杯的总成本。
总成本 = 数量 * 每个玻璃杯的折扣价格
总成本 = 16 * $3 = $48

答案: $48","48.0","primary","False","48.0","unanimous","False"
"图卢兹的绵羊数量是查尔斯顿的两倍。查尔斯顿的绵羊数量是西雅图的 4 倍。如果西雅图有 20 只绵羊，图卢兹、查尔斯顿和西雅图一共有多少只绵羊？","260","设西雅图的绵羊数量为 S。
根据题意，查尔斯顿的绵羊数量是西雅图的 4 倍，所以查尔斯顿的绵羊数量为 4S。
图卢兹的绵羊数量是查尔斯顿的两倍，所以图卢兹的绵羊数量为 2 * (4S) = 8S。
西雅图有 20 只绵羊，所以 S = 20。
因此，查尔斯顿的绵羊数量为 4 * 20 = 80。
图卢兹的绵羊数量为 8 * 20 = 160。
图卢兹、查尔斯顿和西雅图一共有 160 + 80 + 20 = 260 只绵羊。

答案: 260","260.0","primary","True","设西雅图的绵羊数量为 S。
根据题意，查尔斯顿的绵羊数量是西雅图的 4 倍，所以查尔斯顿的绵羊数量为 4S。
图卢兹的绵羊数量是查尔斯顿的两倍，所以图卢兹的绵羊数量为 2 * (4S) = 8S。
西雅图有 20 只绵羊，所以 S = 20。
因此，查尔斯顿的绵羊数量为 4 * 20 = 80。
图卢兹的绵羊数量为 8 * 20 = 160。
图卢兹、查尔斯顿和西雅图一共有 160 + 80 + 20 = 260 只绵羊。

答案: 260","260.0","primary","True","设西雅图的绵羊数量为 S。
根据题意，查尔斯顿的绵羊数量是西雅图的 4 倍，所以查尔斯顿的绵羊数量为 4S。
图卢兹的绵羊数量是查尔斯顿的两倍，所以图卢兹的绵羊数量为 2 * (4S) = 8S。
西雅图有 20 只绵羊，所以 S = 20。
因此，查尔斯顿的绵羊数量为 4 * 20 = 80。
图卢兹的绵羊数量为 8 * 20 = 160。
图卢兹、查尔斯顿和西雅图一共有 160 + 80 + 20 = 260 只绵羊。

答案: 260","260.0","primary","True","260.0","unanimous","True"
"卡拉正在下载一个 200 GB 的文件。正常情况下，她每分钟可以下载 2 GB，但在下载了 40% 的时候，Windows 强制重新启动以安装更新，而这个过程需要 20 分钟。然后卡拉不得不从头重新下载。下载这份文件需要多长时间？","160","首先，计算卡拉在重新启动前下载了多少数据。
她下载了 40% 的 200 GB 文件，即 0.40 * 200 GB = 80 GB。

然后，计算重新启动期间的下载量。
重新启动需要 20 分钟，但在这 20 分钟内，她没有下载任何数据。

因此，卡拉需要重新下载 200 GB - 80 GB = 120 GB。

计算重新下载所需的时间。
她每分钟可以下载 2 GB，因此重新下载 120 GB 需要 120 GB / 2 GB/分钟 = 60 分钟。

最后，计算总时间。
重新启动时间为 20 分钟，重新下载时间为 60 分钟，总时间为 20 分钟 + 60 分钟 = 80 分钟。

答案: 80","80.0","primary","False","首先，计算卡拉在重新启动前下载了多少数据。
她下载了 40% 的 200 GB 文件，即 0.40 * 200 GB = 80 GB。

然后，计算重新启动期间的下载量。
重新启动需要 20 分钟，但在这 20 分钟内，她没有下载任何数据。

因此，卡拉需要重新下载 200 GB - 80 GB = 120 GB。

计算重新下载所需的时间。
她每分钟可以下载 2 GB，因此重新下载 120 GB 需要 120 GB / 2 GB/分钟 = 60 分钟。

最后，计算总下载时间。
重新启动前的下载时间为 80 GB / 2 GB/分钟 = 40 分钟。
重新下载的时间为 60 分钟。
总时间为 40 分钟 + 60 分钟 = 100 分钟。

答案: 100","100.0","primary","False","首先，计算卡拉在重新启动前下载了多少数据。
她下载了 40% 的 200 GB，即 0.40 * 200 GB = 80 GB。

然后，计算重新启动期间的下载量。
重新启动需要 20 分钟，但在这 20 分钟内，她没有下载任何数据。

因此，卡拉需要重新下载 200 GB - 80 GB = 120 GB。

计算重新下载所需的时间。
她每分钟下载 2 GB，因此重新下载 120 GB 需要 120 GB / 2 GB/分钟 = 60 分钟。

最后，计算总时间。
重新启动前的下载时间为 80 GB / 2 GB/分钟 = 40 分钟。
重新下载的时间为 60 分钟。
总时间为 40 分钟 + 60 分钟 = 100 分钟。

答案: 100","100.0","primary","False","100.0","majority","False"
"约翰以每小时 60 英里的速度开了 3 小时，然后掉头，因为他意识到自己把非常重要的东西忘在家里了。他尽量在 4 小时后赶到家，但前 2 个小时都消耗在堵塞的交通中了。在接下来的半个小时，他以每小时 30 英里的速度驾驶，然后在 4 小时剩下的时间里，才能以每小时 80 英里的速度行驶。4 个小时结束后，他距离家还有多远？","45","首先，计算约翰最初行驶的距离：
距离 = 速度 × 时间 = 60 英里/小时 × 3 小时 = 180 英里。

然后，计算约翰在堵塞的交通中花费的时间：
堵塞时间 = 2 小时。

然后，计算约翰在堵塞后剩余的时间：
剩余时间 = 4 小时 - 2 小时 = 2 小时。

接下来，计算约翰在堵塞后以 30 英里/小时的速度行驶的距离：
距离 = 速度 × 时间 = 30 英里/小时 × 0.5 小时 = 15 英里。

然后，计算约翰在 30 英里/小时速度行驶后剩余的时间：
剩余时间 = 2 小时 - 0.5 小时 = 1.5 小时。

然后，计算约翰以 80 英里/小时的速度行驶的距离：
距离 = 速度 × 时间 = 80 英里/小时 × 1.5 小时 = 120 英里。

然后，计算约翰总共行驶的距离：
总距离 = 180 英里 + 15 英里 + 120 英里 = 315 英里。

最后，计算约翰距离家还有多远：
距离 = 总距离 - 距离 = 315 英里 - 180 英里 = 135 英里。

答案: 135","135.0","primary","False","首先，计算约翰最初行驶的距离：
距离 = 速度 × 时间 = 60 英里/小时 × 3 小时 = 180 英里。

然后，计算约翰在堵塞的交通中行驶的距离：
堵塞距离 = 速度 × 时间 = 0 英里/小时 × 2 小时 = 0 英里。
（因为他没有行驶任何距离）

接下来，计算约翰在接下来的 30 分钟（0.5 小时）以 30 英里/小时的速度行驶的距离：
30 分钟 = 0.5 小时
距离 = 速度 × 时间 = 30 英里/小时 × 0.5 小时 = 15 英里。

然后，计算约翰剩余的 4 小时以 80 英里/小时的速度行驶的距离：
距离 = 速度 × 时间 = 80 英里/小时 × 4 小时 = 320 英里。

现在，计算约翰总共行驶的距离：
总距离 = 180 英里 + 15 英里 + 320 英里 = 515 英里。

最后，计算约翰距离家还有多远：
距离家还有 = 总距离 - 距离家
距离家还有 = 0 英里 - 515 英里 = -515 英里。
由于结果为负数，这意味着约翰已经到达了家。
因此，约翰距离家还有 0 英里。

答案: 0","0.0","primary","False","首先，计算约翰最初行驶的距离：
距离 = 速度 × 时间 = 60 英里/小时 × 3 小时 = 180 英里。

然后，计算约翰在堵塞的交通中行驶的距离：
堵塞距离 = 速度 × 时间 = 0 英里/小时 × 2 小时 = 0 英里。
（因为他没有行驶任何距离）

接下来，计算约翰在接下来的 30 分钟（0.5 小时）以 30 英里/小时的速度行驶的距离：
30 分钟 = 0.5 小时
距离 = 速度 × 时间 = 30 英里/小时 × 0.5 小时 = 15 英里。

然后，计算约翰剩余的 4 小时以 80 英里/小时的速度行驶的距离：
距离 = 速度 × 时间 = 80 英里/小时 × 4 小时 = 320 英里。

现在，计算约翰总共行驶的距离：
总距离 = 180 英里 + 0 英里 + 15 英里 + 320 英里 = 515 英里。

最后，计算约翰距离家还有多远：
距离家还有的距离 = 总距离 - 距离家
距离家还有的距离 = 515 英里 - 距离家
由于我们不知道约翰家在哪里，我们假设他最初的行驶距离是到家的距离。
因此，约翰距离家还有 0 英里。
但是，问题问的是他距离家还有多远，所以我们应该计算他行驶的总距离与他家到起点的距离的差。
我们知道他最初行驶了 180 英里。
他行驶了 15 英里，然后 320 英里。
总行驶距离 = 180 + 15 + 320 = 515 英里。
假设他家在 180 英里以外，那么他距离家还有 515 - 180 = 335 英里。
如果他家在 180 英里以内，那么他距离家还有 0 英里。
由于题目没有给出约翰家到起点的距离，我们假设他家在 180 英里以外。

假设约翰家在","180.0","last_number","False","135.0","all_differ","False"
"伊莉莎每周工作的前 40 个小时的时薪是 10 美元。她加班还能获得标准时薪 1.2 倍的工资。如果 Eliza 这周工作了 45 小时，她这周的收入是多少？","460","首先，计算伊莉莎加班的小时数。她每周工作 40 小时，这周工作了 45 小时，所以加班的小时数是 45 - 40 = 5 小时。
然后，计算加班时的工资。加班时薪是标准时薪的 1.2 倍，即 10 美元 * 1.2 = 12 美元。
接下来，计算加班收入。加班收入是加班小时数乘以加班时薪，即 5 小时 * 12 美元/小时 = 60 美元。
最后，计算总收入。总收入是正常工作收入加上加班收入，即 (40 小时 * 10 美元/小时) + 60 美元 = 400 美元 + 60 美元 = 460 美元。

答案: 460","460.0","primary","True","首先，计算伊莉莎加班的小时数。
她每周工作 40 小时，这周工作了 45 小时，所以加班的小时数是 45 - 40 = 5 小时。
然后，计算加班时的工资。
加班时薪是 10 美元 * 1.2 = 12 美元。
然后，计算加班收入。
加班收入是 5 小时 * 12 美元/小时 = 60 美元。
最后，计算总收入。
总收入是 40 小时 * 10 美元/小时 + 60 美元 = 400 美元 + 60 美元 = 460 美元。

答案: 460","460.0","primary","True","首先，计算伊莉莎加班的小时数。她每周工作 40 小时，这周工作了 45 小时，所以加班的小时数是 45 - 40 = 5 小时。
然后，计算加班时的时薪。加班时薪是标准时薪的 1.2 倍，即 10 美元 * 1.2 = 12 美元。
接下来，计算加班收入。加班收入是加班小时数乘以加班时薪，即 5 小时 * 12 美元/小时 = 60 美元。
最后，计算总收入。总收入是正常工作收入加上加班收入，即 (40 小时 * 10 美元/小时) + 60 美元 = 400 美元 + 60 美元 = 460 美元。

答案: 460","460.0","primary","True","460.0","unanimous","True"
