question,A,B,C,D,answer,subject
"যদি একটি পঞ্চভুজ P এর প্রান্তবিন্দু গুলোর স্থানাঙ্ক হয় (– 2, – 4), (– 4, 1), (–1, 4), (2, 4), এবং (3, 0) এবং এই স্থানাঙ্কগুলো y = x রেখায় বসিয়ে নতুন পঞ্চভুজ  P’ পাওয়া যায়, তবে  P’ এর একটি প্রান্তবিন্দুর স্থানাঙ্ক হবে","(0, – 3)","(4, 1)","(2, 2)","(– 4, –2)",D,high_school_mathematics
"একটি চতুর্ভুজের দৈর্ঘ্য এর প্রস্থের দ্বিগুণ। যদি এর কর্ণের দৈর্ঘ্য  $5\sqrt{5}$ হয়, তবে এর ক্ষেত্রফল বের করুন।",2500,2,50,25,C,high_school_mathematics
"একটি ধনাত্মক পূর্ণসংখ্যা n কে ""শক্তিশালী"" বলা হয় যদি n-এর প্রতিটি মৌলিক উৎপাদক p এর জন্য, p^2ও n-এর একটি উৎপাদক হয়। একটি শক্তিশালী সংখ্যার একটি উদাহরণ হল:",392,336,300,297,A,high_school_mathematics
"নাস্তা, দুপুরের খাবার এবং রাতের খাবারে, জো সমান সম্ভাব্যতা নির্দিষ্ট করে যেকোনো একটি আপেল, কমলা, বা কলা খায়। একটি দিনে, জো কমপক্ষে দুটি পৃথক ধরনের ফল খাবে এর সম্ভাব্যতা কত?",\frac{7}{9},\frac{8}{9},\frac{5}{9},\frac{9}{11},B,high_school_mathematics
"ধরুন $f(x)$ এমন একটি ফাংশন যা বৈশিষ্ট্যগুলো হল: সকল বাস্তব সংখ্যা $a$ এবং $b$ এর জন্য যেখানে $a<b$, $y=f(x)$ গ্রাফের $x=a$ এবং $x=b$ এর মধ্যবর্তী অংশ $(a,f(a))$ এবং $(b,f(b))$ প্রান্তবিন্দুদ্বয়ের রেখার নিচে থাকবে। (এই ধরণের ফাংশনকে পরিপূর্ণ উত্তল বলা হয়।) যদি $f(x)$ ফাংশনটি $(-2,5)$ এবং $(2,9)$ বিন্দুদ্বয় দিয়ে যায়, $f(1)$ এর সম্ভাব্য সমস্ত মানের পরিসীমা কত? এই প্রশ্নের উত্তরটি ব্যবধান নোটেশনে প্রকাশ করুন।","(-inf, 10)","(-inf, 9)","(-inf, 8)","(-inf, 7)",C,high_school_mathematics
জন তার স্মারক টুপির পিনগুলি দুটি ভাগে ভাগ করলেন। দুটি ভাগে একই সংখ্যক পিন ছিল। তিনি তার ভাইকে এক ভাগের এক-তৃতীয়াংশের অর্ধেক দিয়েছিলেন। জনের কাছে 66 টি পিন বাকি ছিল। জনের কাছে প্রাথমিকভাবে কতটি পিন ছিল?,396,72,66,36,B,high_school_mathematics
"একজন আবহাওয়াবিদ রিপোর্ট করেন যে, কোন সূর্য ছাড়া বৃষ্টির সম্ভাবনা 30%। যদি বৃষ্টি না হওয়ার সম্ভাবনা 40% হয়, তবে বৃষ্টি এবং সূর্য উভয়ের সম্ভাবনা হলো",0.16,0.24,0.3,0.5,C,high_school_mathematics
এমন সকল ধনাত্মক পূর্ণসংখ্যা মান $n$ এর যোগফল কত যেগুলির জন্য $n^2$ হল $1200$ এর একটি উৎপাদক।,42,12,36,39,A,high_school_mathematics
আমরা পাঁচবার একটি ছক্কা মারি। এর মধ্যে সর্বোচ্চ দুইবার আমরা 6 পাব এর সম্ভাব্যতা কত?,\frac{125}{648},\frac{25}{648},\frac{625}{648},\frac{1}{648},C,high_school_mathematics
কতগুলি গণিতিক অনুক্রমিক বিজোড় সংখ্যা আছে যাদের যোগফল 240?,8,12,10,4,B,high_school_mathematics
ধনাত্নক পূর্ণসংখ্যা $x$ এবং $y$ এর গুণফল 56 এবং $x < y$। ক্ষুদ্রতম পূর্ণসংখ্যাটির অন্যোন্যকের সাতগুণের সাথে বৃহত্তম পূর্ণসংখ্যার অন্যোন্যকের 14গুণ যোগ করলে যোগফল 4 হবে। $x$ এর মান কত?,13,14,1,2,D,high_school_mathematics
"$n > 1$ হলে, সম্ভাব্য ক্ষুদ্রতম ধনাত্নক পূর্ণসংখ্যা $n$ এর মান কত যার ধনাত্নক উৎপাদকসমূহের গুণফল $n^6$ হবে?",30,64,2048,60,D,high_school_mathematics
$2^{87} +3$ কে $7$ দ্বারা ভাগ করা হলে ভাগশেষ কত?,0,1,2,4,D,high_school_mathematics
"জেনের কুইজের স্কোর ছিল 98, 97, 92, 85 এবং 93। তার গড় স্কোর কত?",92,93,94.5,95,B,high_school_mathematics
"ধরা যাক f এর গ্রাফ বৃদ্ধি পাচ্ছে এবং অবতল উভয়ই যেখানে a <= x <= b। তাহলে, একই সংখ্যক পুনর্বিভাজন ব্যবহার করে, এবং L, R, M, এবং T যথাক্রমে বাম, ডান, মধ্যবিন্দু এবং ট্র্যাপিজয়েড যোগফল নির্দেশ করে, এটি অনুসরণ করে যে",R <= T <= M <= L,L <= T <= M <= R,R <= M <= T <= L,L <= M <= T <= R,D,high_school_mathematics
"একটি পিঁপড়া $(-4,6)$ থেকে সরলরেখায় মূলবিন্দুতে আসে, এবং তারপর সরলরেখায় $(4,3)$ বিন্দুতে যায়। এটি কত দূরত্ব অতিক্রম করে?",16,2\sqrt{2},5,5+2\sqrt{13},D,high_school_mathematics
দুটি ক্ষুদ্রতম 3-অংকের মৌলিক সংখ্যার গুণফল ধরি $n$। $n$ সংখ্যার মধ্যে বিদ্যমান অংকগুলোর যোগফল বের করুন।,8,3,6,9,A,high_school_mathematics
$(x^2+5x+6)^2+(px+q)(x^3+7x^2+3x)$ এর সম্প্রসারণ থেকে যে বহুপদী পাওয়া যায় তার ডিগ্রী  $2$। $p+q$ এর মান বের করুন।,-2,-4,-1,1,B,high_school_mathematics
"যদি $f(x)=ax^6-bx^4+x-1$ এবং $f(2)=5$ হয়, তবে $f(-2)$ এর মান কত?",1,3,0,5,A,high_school_mathematics
$f(x) = \frac{1}{1-x}$ ফাংশনের রেঞ্জ কী? আপনার উত্তরটি ব্যবধান নোটেশনে প্রকাশ করুন।,"(-\infty,-1)\cup (1,\infty)","(-\infty,0)\cup (0,\infty)","[-1,1]","(-1,1)",B,high_school_mathematics
$f(x)=4-5x$ এর বিপরীত ফাংশন কী?,\frac{5}{x-4},\frac{x-4}{5},\frac{x+4}{5},-\frac{x-4}{5},D,high_school_mathematics
"যেই ধারার প্রথম পদ 2 এবং পরবর্তী প্রতিটি পদ এর আগের পদের সাথে -2 গুণ করে পাওয়া যায়, সেই ধারার 5ম পদ কত?",−16,32,−32,64,B,high_school_mathematics
