question,answer,cot_answer,extracted_answer,is_correct,lcr,question_id,difficulty
జనెత్ బాతులు ప్రతిరోజూ 16 గుడ్లు పెడతాయి. ఆమె ప్రతిరోజూ ఉదయం అల్పాహారం కొరకు మూడు గుడ్లు తింటుంది మరియు ప్రతిరోజూ నాలుగింటితో తన స్నేహితుల కొరకు మఫిన్‌లు బేక్ చేస్తుంది. ఆమె మిగిలిన వాటిని రోజూ రైతు మార్కెట్ వద్ద ప్రతి తాజా బాతు గుడ్డును $2కు విక్రయిస్తుంది. ఆమె రైతు మార్కెట్ వద్ద ప్రతిరోజూ ఎన్ని డాలర్లు సంపాదిస్తుంది?,18,"జనెత్ బాతులు ప్రతిరోజూ 16 గుడ్లు పెడతాయి. ఆమె ఉదయం అల్పాహారం కొరకు 3 గుడ్లు తింటుంది మరియు స్నేహితుల కొరకు 4 గుడ్లు మఫిన్‌లకు ఉపయోగిస్తుంది, మొత్తం 3 + 4 = 7 గుడ్లు. అందువల్ల, ఆమె వద్ద 16 - 7 = 9 గుడ్లు మిగిలి ఉంటాయి. ఆమె ఈ మిగిలిన గుడ్లను $2కు విక్రయిస్తుంది, కాబట్టి ఆమె రోజుకు 9 * $2 = $18 సంపాదిస్తుంది.
సమాధానం: 18",18.0,True,1.0,0,easy
ఒక రోబ్ 2 బోల్ట్‌ల బ్లూ ఫైబర్ మరియు దానిలో సగం వైట్ ఫైబర్‌ని తీసుకుంది. అది మొత్తం ఎన్ని బోల్ట్‌లను తీసుకుంది?,3,"రోబ్ 2 బోల్ట్‌ల బ్లూ ఫైబర్‌ను తీసుకుంది. దానిలో సగం వైట్ ఫైబర్‌ని తీసుకుంది, అంటే 2 బోల్ట్‌లలో సగం అంటే 1 బోల్ట్. కాబట్టి, మొత్తం తీసుకున్న బోల్ట్‌ల సంఖ్య 2 (బ్లూ ఫైబర్) + 1 (వైట్ ఫైబర్) = 3. సమాధానం: 3",3.0,True,1.0,1,easy
"జోష్ ఒక ఇంటిపై పెట్టుబడి పెట్టాలని నిర్ణయించుకున్నాడు. అతడు ఒక ఇంటిని $80,000కు కొనుగోలు చేసి, తరువాత మరమ్మత్తుల కొరకు $50,000 వెచ్చించాడు. ఇది ఇంటి విలువను 150% పెంచింది. అతడు ఎంత లాభం పొందాడు?",70000,"జోష్ ఇంటిని $80,000కు కొనుగోలు చేసి, మరమ్మత్తులకు $50,000 వెచ్చించాడు. మొత్తం ఖర్చు = $80,000 + $50,000 = $130,000. ఇంటి విలువ 150% పెరిగింది. అంటే కొత్త విలువ = $80,000 * 250% = $200,000. లాభం = కొత్త విలువ - మొత్తం ఖర్చు = $200,000 - $130,000 = $70,000. సమాధానం: 70000",70000.0,True,1.0,2,medium
జేమ్ప్ వారంలో 3 సార్లు 3 స్ప్రింట్స్ పరిగెత్తాలని నిర్ణయించుకున్నాడు. అతడు ప్రతి స్ప్రింట్‌లో 60 మీటర్లు పరిగెత్తాడు. అతడు ఒక వారంలో ఎన్ని మీటర్లు పరిగెత్తాడు?,540,"జేమ్ప్ వారంలో 3 సార్లు 3 స్ప్రింట్స్ పరిగెత్తాడు, అంటే మొత్తం 3 * 3 = 9 స్ప్రింట్స్. ప్రతి స్ప్రింట్ 60 మీటర్లు కాబట్టి, మొత్తం దూరం 9 * 60 = 540 మీటర్లు.

సమాధానం: 540",540.0,True,1.0,3,easy
"ప్రతిరోజూ, విండీ తన కోళ్లు ఆరోగ్యవంతంగా ఉండేందుకు సాయపడటానికి గింజలు, మీల్‌వార్మ్‌లు మరియు కూరగాయలు ఉండే మిక్సిడ్ చికెన్ ఫీడ్ యొక్క మూడు కప్పులను తన ప్రతి కోడికి పెడుతుంది. ఆమె కోళ్లకు మూడుసార్లు విడి మేతగా ఈ ఫీడ్‌ని ఇస్తుంది. ఉదయం పూట, ఆమె తన కోళ్ల మందకు 15 కప్పుల ఫీడ్‌ని ఇస్తుంది. మధ్యాహ్నం ఆమె తన కోళ్లకు మరో 25 కప్పుల ఫీడ్‌ని ఇస్తుంది. విండీ మందలో 20 కోళ్లు ఉన్నట్లయితే రోజులో చివరి మేతలో ఆమె కోళ్లకు ఎన్ని కప్పుల ఫీడ్‌ని ఇవ్వాల్సి ఉంటుంది?",20,"**తర్కాత్మక అదుగులు:**
1. **రోజువారీ ఫీడ్ మొత్తం:** విండీ ప్రతిరోజూ తన కోళ్లకు మొత్తం 3 కప్పుల ఫీడ్‌ని ఇస్తుంది.
2. **మూడు మేతలు:** ఆమె కోళ్లకు మూడు మేతలు (ఉదయం, మధ్యాహ్నం, రాత్రి) చేస్తుంది.
3. **ఉదయం మరియు మధ్యాహ్నం ఫీడ్:** ఉదయం 15 కప్పులు మరియు మధ్యాహ్నం 25 కప్పులు ఇస్తుంది.
4. **మూడు మేతలలో మొత్తం ఫీడ్:** ఉదయం మరియు మధ్యాహ్నం ఫీడ్‌లను కలిపి 15 + 25 = 40 కప్పులు.
5. **మిగిలిన ఫీడ్:** రోజువారీ మొత్తం ఫీడ్ నుండి మూడు మేతలలో ఇవ్వబడిన ఫీడ్‌ను తీసివేయాలి. 3 కప్పులు - 40 కప్పులు = -37 కప్పులు.
6. **నెగటివ్ ఫీడ్:** ఫీడ్ నెగటివ్‌గా ఉండదు కాబట్టి, విండీ కోళ్లకు 0 కప్పుల ఫీడ్‌ని ఇవ్వాల్సి ఉంటుంది.

**సమాధానం:** 0",0.0,False,1.0,4,medium
"కైలర్ తన కొత్త అపార్ట్‌మెంట్ కొరకు గ్లాసులను కొనుగోలు చేయడానికి స్టోరుకు వెళ్లాడు. ఒక గ్లాసు ఖరీదు $5, కానీ ప్రతి రెండో గ్లాసు ఖరీదు ధరలో కేవలం 60% మాత్రమే. కైలర్ 16 గ్లాసులను కొనుగోలు చేయాలని కోరుకుంటున్నాడు. అతడు వాటి కొరకు ఎంత చెల్లించాల్సి ఉంటుంది?",64,"మొదట, ప్రతి గ్లాసు ధరను కనుగొనండి. ఒక గ్లాసు ఖరీదు $5. ప్రతి రెండో గ్లాసు ధరలో 60% మాత్రమే, అంటే $5 * 0.6 = $3. కాబట్టి, ప్రతి రెండో గ్లాసు ఖరీదు $3. ఇప్పుడు, కైలర్ 16 గ్లాసులను కొనుగోలు చేయాలనుకుంటున్నాడు, కాబట్టి అతడు 8 జతల గ్లాసులను కొనుగోలు చేయాలి. 8 జతల గ్లాసుల మొత్తం ఖరీదు 8 * $3 = $24. గ్లాసు ధరలు $5 కాబట్టి, కైలర్ 16 గ్లాసులను కొనుగోలు చేయడానికి $24 * 16 / 5 = $96 చెల్లించాల్సి ఉంటుంది. సమాధానం: 96",96.0,False,1.0,5,medium
"టౌలస్ వద్ద చార్లెస్టన్ కంటే రెట్టింపు సంఖ్యలో గొర్రెలు ఉన్నాయి. చార్లెస్టన్ వద్ద సియాటెల్ కంటే 4 రెట్లు ఎక్కువగా గొర్రెలు ఉన్నాయి. సియాటెల్ వద్ద 20 గొర్రెలు ఉన్నట్లయితే టౌలస్, చార్లెస్టన్ మరియు సియాటెల్ వద్ద మొత్తం ఎన్ని గొర్రెలు ఉన్నాయి?",260,"మొదట సియాటెల్ వద్ద గొర్రెల సంఖ్యను గుర్తించండి, అది 20.
చార్లెస్టన్ వద్ద సియాటెల్ కంటే 4 రెట్లు ఎక్కువ గొర్రెలు ఉన్నాయి, కాబట్టి చార్లెస్టన్ వద్ద 4 * 20 = 80 గొర్రెలు ఉన్నాయి.
టౌలస్ వద్ద చార్లెస్టన్ కంటే రెట్టింపు సంఖ్యలో గొర్రెలు ఉన్నాయి, కాబట్టి టౌలస్ వద్ద 2 * 80 = 160 గొర్రెలు ఉన్నాయి.
మొత్తం గొర్రెల సంఖ్యను కనుగొనడానికి, టౌలస్, చార్లెస్టన్ మరియు సియాటెల్ వద్ద ఉన్న గొర్రెలను కలిపి లెక్కించండి: 160 + 80 + 20 = 240 + 20 = 260
సమాధానం: 260",260.0,True,1.0,6,hard
"కార్లా 200GB ఫైలును డౌన్‌లోడ్ చేస్తోంది. సాధారణంగా ఆమె నిమిషానికి 2 GB డౌన్‌లోడ్ చేయగలదు, కానీ డౌన్‌లోడ్ 40% చేరుకునే సరికి, అప్‌డేట్‌లను ఇన్‌స్టాల్ చేయడానికి విండోస్ ఫోర్స్ రీస్టార్ట్ అయింది, దీనికి 20 నిమిషాలు పట్టింది. తరువాత కార్లా డౌన్‌లోడ్‌ని మొదటి నుంచి తిరిగి ప్రారంభించాల్సి వచ్చింది. ఫైలు డౌన్‌లోడ్ చేయడానికి ఎంత లోడ్ పడుతుంది?",160,"**తర్కాత్మక అదుగులు:**
1. **ప్రారంభ డౌన్‌లోడ్:**
   - కార్లా 200 GB ఫైలును డౌన్‌లోడ్ చేస్తోంది.
   - సాధారణంగా ఆమె నిమిషానికి 2 GB డౌన్‌లోడ్ చేయగలదు.

2. **40% డౌన్‌లోడ్ తర్వాత:**
   - 200 GBలో 40% = 0.4 * 200 = 80 GB.
   - ఈ సమయంలో, విండోస్ ఫోర్స్ రీస్టార్ట్ అయింది, దీనికి 20 నిమిషాలు పట్టింది.
   - కాబట్టి, ఫైలులో 80 GB డౌన్‌లోడ్ అయింది.

3. **తిరిగి ప్రారంభించడం:**
   - కార్లా డౌన్‌లోడ్‌ని మొదటి నుంచి తిరిగి ప్రారంభించాల్సి వచ్చింది.
   - ఇది అంటే, ఆమె మునుపటి స్థితికి తిరిగి వెళ్లింది.

4. **మొత్తం డౌన్‌లోడ్:**
   - ఫైలులో 80 GB డౌన్‌లోడ్ అయింది, కానీ ఇది తిరిగి ప్రారంభించడం వల్ల, మొత్తం డౌన్‌లోడ్ 200 GB అవుతుంది.

**సమాధానం:**
కార్లా ఫైలును డౌన్‌లోడ్ చేయడానికి **200 GB** లోడ్ పడుతుంది.",200.0,False,1.0,7,hard
"జాన్ గంటకు 60 మైళ్ల వేగంతో 3 గంటలపాటు ప్రయాణించాడు, ఇంటి వద్ద ముఖ్యమైనది ఏదో మర్చిపోయినట్లుగా అతడు అర్థం చేసుకోవడంతో వెనక్కి తిరిగాడు. అతడు 4 గంటల్లో ఇంటికి చేరుకోవడానికి ప్రయత్నిస్తాడు. కానీ మొదటి 2 గంటలు అతడు కదలకుండా ఆగిపోయిన ట్రాఫిక్‌లో గడిపాడు. అతడు తరువాత అర్ధ గంట 30 మైళ్ల వేగంతో ప్రయాణించాడు, 4 గంటల్లో మిగిన సమయాన్ని అతడు గంటకు 80 మైళ్ల వేగంతో ప్రయాణించగలుగుతాడు. ఆ 4 గంటలు ముగిసిన తరువాత అతడు ఇంటి నుంచి ఎంత దూరంలో ఉంటాడు?",45,"**తర్కాత్మక అదుగులు:**

1. **మొదటి 2 గంటలు ట్రాఫిక్‌లో:**
   - జాన్ గంటకు 60 మైళ్ల వేగంతో ప్రయాణిస్తున్నాడు.
   - 2 గంటల్లో ప్రయాణించిన దూరం = 60 మైళ్లు/గంట * 2 గంటలు = 120 మైళ్లు.

2. **మొదటి 2 గంటల తర్వాత స్థానం:**
   - ఇంటి నుండి దూరంగా ఉన్న స్థానం = 120 మైళ్లు.

3. **మొదటి 2 గంటల తర్వాత మిగిలిన దూరం:**
   - ఇంటికి చేరుకోవడానికి మిగిలిన దూరం = 60 మైళ్లు (ఇంటి నుండి దూరంగా ఉన్న స్థానం) + 60 మైళ్లు (ఇంటి నుండి దూరంగా ఉన్న స్థానం) = 120 మైళ్లు.

4. **మొదటి 2 గంటల తర్వాత మిగిలిన సమయం:**
   - మొత్తం ప్రయాణ సమయం = 4 గంటలు.
   - మొదటి 2 గంటలు గడిచిన సమయం = 2 గంటలు.
   - మిగిలిన సమయం = 4 గంటలు - 2 గంటలు = 2 గంటలు.

5. **మొదటి 2 గంటల తర్వాత మిగిలిన దూరాన్ని ప్రయాణించడం:**
   - జాన్ 1.5 గంటల పాటు 30 మైళ్ల వేగంతో ప్రయాణిస్తాడు.
   - 1.5 గంటల్లో ప్రయాణించిన దూరం = 30 మైళ్లు/గంట * 1.5 గంటలు = 45 మైళ్లు.

6. **మొదటి 2 గంటల తర్వాత మిగిలిన దూరం:**
   - మిగిలిన దూరం = 120 మైళ్లు - 45 మైళ్లు = 75 మైళ్లు.

7. **మిగిలిన 2 గంటల ప్రయాణం:**
   - జాన్ 2 గంటల పాటు 80 మైళ్ల వేగంతో ప్రయాణిస్తాడు.
   - 2 గంటల్లో ప్రయాణించిన దూరం = 80 మైళ్లు/గంట * 2 గంటలు = 160 మైళ్లు.

8. **మొత్తం ప్రయాణించిన దూరం:**
   - మొత్తం దూరం = 120 మైళ్లు (మొదటి 2 గంటలు) + 160 మైళ్లు (మిగిలిన 2 గంటలు) = 280 మై",,False,1.0,8,hard
"ఎలీజా ప్రతివారం ఆమె పని చేసే మొదటి 40 గంటలకు గంటకు $10 రేటును పొందుతుంది. ఆమె ఓవర్ టైమ్ చెల్లింపును రెగ్యులర్ గంట రేటుకు 1.2 చొప్పున కూడా పొందుతుంది. ఎలీజా ఈ వారం 45 గంటలు పనిచేసినట్లయితే, ఈ వారానికి ఆమె ఎంత సంపాదిస్తుంది?",460,"ఎలీజా మొదటి 40 గంటలకు $10/గంట x 40 గంటలు = $400 సంపాదిస్తుంది. ఆమె 45 గంటలు పనిచేసినందున, ఆమె 5 గంటలు ఓవర్ టైమ్ పనిచేస్తుంది. ఆమె ఓవర్ టైమ్ $10 x 1.2 = $12/గంట రేటుకు సంపాదిస్తుంది. కాబట్టి, ఆమె ఓవర్ టైమ్ $12/గంట x 5 గంటలు = $60 సంపాదిస్తుంది. ఆమె మొత్తం సంపాదన $400 + $60 = $460.
సమాధానం: 460",460.0,True,1.0,9,medium
