"question","A","B","C","D","answer","direct_answer","extracted_answer","parse_method","is_correct"
"প্রদত্ত ক্ষেত্রের বর্ধিতাংশের জন্য Q(sqrt(2), sqrt(3), sqrt(18)) Q এর উপরে মাত্রা খুঁজুন।","0","4","2","6","B","C","C","bare_letter","False"
"ধরুন p = (1, 2, 5, 4)(2, 3) S_5 এ। S_5 এ <p> এর সূচী খুঁজুন।","8","2","24","120","C","A","A","bare_letter","False"
"সেই ক্ষেত্রে সহগ সহ প্রদত্ত বহুপদীর নির্দেশিত সসীম ক্ষেত্রে সমস্ত শূন্য খুঁজুন। x^5 + 3x^3 + x^2 + 2x in Z_5","0","1","0,1","0,4","D","C","C","bare_letter","False"
"বিবৃতি 1 | একটি নন-আবেলিয়ান গ্রুপের একটি ফ্যাক্টর গ্রুপ হল নন-আবেলিয়ান। বিবৃতি 2 | K যদি H-এর একটি সাধারণ উপগোষ্ঠী হয় এবং H হল G-এর সাধারণ উপগোষ্ঠী, তাহলে K হল G-এর সাধারণ উপগোষ্ঠী৷","সত্য, সত্য","মিথ্যা, মিথ্যা","সত্য, মিথ্যা","মিথ্যা, সত্য","B","D","D","bare_letter","False"
"প্রদত্ত বহুপদগুলির গুণফল নির্ণয় কর প্রদত্ত বহুপদী বলয়ে। f(x) = 4x - 5, g(x) = 2x^2 - Z_8[x] এ 4x + 2।","2x^2 + 5","6x^2 + 4x + 6","0","x^2 + 1","B","B","B","bare_letter","True"
"বিবৃতি 1 | যদি একটি গ্রুপে  15 ক্রমের একটি উপাদান থাকে তবে অবশ্যই 15 ক্রমের কমপক্ষে 8 টি উপাদান থাকতে হবে। বিবৃতি 2 | যদি একটি গ্রুপের 15-ক্রমের 8টির বেশি উপাদান থাকে, তবে এটির 15 ক্রমের  কমপক্ষে 16টি উপাদান থাকতে হবে।","সত্য, সত্য","মিথ্যা, মিথ্যা","সত্য, মিথ্যা","মিথ্যা, সত্য","A","D","D","bare_letter","False"
"বিবৃতি 1 | একটি দল G-এর প্রতিটি হোমোমরফিক চিত্র G-এর ফ্যাক্টর গ্রুপের আইসোমরফিক। স্টেটমেন্ট 2 | একটি গ্রুপ G-এর সমজাতীয় চিত্রগুলি G-এর ফ্যাক্টর গ্রুপগুলির মতোই (আইসোমরফিজম পর্যন্ত)।","সত্য, সত্য","মিথ্যা, মিথ্যা","সত্য, মিথ্যা","মিথ্যা, সত্য","A","D","D","bare_letter","False"
"বিবৃতি 1 | একটি রিং হোমোমর্ফিজম একক হয় যদি এবং শুধুমাত্র যদি কার্নেলটি {0} হয়। বিবৃতি 2 | Q, R-এর মধ্যে একটি আদর্শ।","সত্য, সত্য","মিথ্যা, মিথ্যা","সত্য, মিথ্যা","মিথ্যা, সত্য","D","C","C","bare_letter","False"
"প্রদত্ত ক্ষেত্র বর্ধিতাংশের জন্য Q(sqrt(2) + sqrt(3)) Q এর উপরে মাত্রা খুঁজুন।","0","4","2","6","B","C","C","bare_letter","False"
"প্রদত্ত বহুপদীর নির্দেশিত সসীম ক্ষেত্রে সমস্ত শূন্য খুঁজুন সেই ক্ষেত্রে সহগ সহ। x^3 + 2x + 2 ক্ষেত্রে Z_7","1","2","2,3","6","C","C","C","bare_letter","True"
"বিবৃতি 1 | যদি H একটি G-এর উপগোষ্ঠী হয় এবং a, G-এর অন্তর্গত হয় তাহলে |aH| = |হা| বিবৃতি 2 | যদি H G-এর একটি উপগোষ্ঠী হয় এবং a এবং b, G-এর অন্তর্গত, তাহলে aH এবং Hb অভিন্ন বা বিচ্ছিন্ন।","সত্য, সত্য","মিথ্যা, মিথ্যা","সত্য, মিথ্যা","মিথ্যা, সত্য","C","A","A","bare_letter","False"
"যদি A = {1, 2, 3} হলে সম্পর্ক S = {(1, 1), (2, 2)} হয়","একমাত্র প্রতিসম","একমাত্র অপ্রতিসম","প্রতিসমএবং অপ্রতিসম উভয়ই","একটি সমতা সম্পর্ক","C","A","A","bare_letter","False"
"ফ্যাক্টর গ্রুপের ক্রম খুঁজুন (Z_11 x Z_15)/(<1, 1>)","1","2","5","11","A","C","C","bare_letter","False"
"বহুপদী x^3 + 2x^2 + 2x + 1 Z_7[x]-এ রৈখিক গুণনীয়কগুলিতে নির্ণয় করা যেতে পারে। যোগফল খুঁজুন.","(x − 2)(x + 2)(x − 1)","(x + 1)(x + 4)(x − 2)","(x + 1)(x − 4)(x − 2)","(x - 1)(x − 4)(x − 2)","C","C","C","bare_letter","True"
"n = 10 এর S_n এর একটি উপাদানের জন্য সর্বাধিক সম্ভাব্য ক্রম খুঁজুন।","6","12","30","105","C","C","C","bare_letter","True"
"বিবৃতি 1 | R হল Q. বিবৃতি 2 | এর উপর কিছু বহুপদীর একটি বিভক্ত ক্ষেত্র 60টি উপাদান সহ একটি ক্ষেত্র রয়েছে।","সত্য, সত্য","মিথ্যা, মিথ্যা","সত্য, মিথ্যা","মিথ্যা, সত্য","B","D","D","bare_letter","False"
"গুণক গোষ্ঠীতে -i এর বিপরীত, {1, -1, i , -i}","1","-1","i"," -i","C","D","D","bare_letter","False"
"প্রদত্ত রিং এর মধ্যে পণ্য গণনা. (2,3)(3,5) ক্ষেত্রে Z_5 x Z_9","(1,1)","(3,1)","(1,6)","(3,6)","C","B","B","bare_letter","False"
"স্বাভাবিক গুণন অপারেশনের অধীনে সমস্ত বাস্তব সংখ্যার সেট যেহেতু একটি গ্রুপ নয়","গুণন একটি বাইনারি অপারেশন নয়","গুণন সহযোগী নয়","পরিচয় উপাদান বিদ্যমান নেই","শূন্যের কোন বিপরীত নেই","D","B","B","bare_letter","False"
"বিবৃতি 1| ক্রম p^2 এর প্রতিটি গ্রুপ যেখানে p প্রধান হল আবেলিয়ান। বিবৃতি 2 | একটি নির্দিষ্ট প্রাইম p-এর জন্য একটি গ্রুপ G-এর একটি Sylow p-সাবগ্রুপ হল G-এর একটি সাধারণ উপগোষ্ঠী যদি এবং শুধুমাত্র যদি এটি G-এর একমাত্র Sylow p-সাবগ্রুপ হয়।","সত্য, সত্য","মিথ্যা, মিথ্যা","সত্য, মিথ্যা","মিথ্যা, সত্য","A","A","A","bare_letter","True"
"বিবৃতি 1 | সসীম গ্রুপ G এবং H, |G + H| এর জন্য = |G||H| (G + H হল অভ্যন্তরীণ প্রত্যক্ষ গুণফল।) বিবৃতি 2 | যদি r ভাগ করে m এবং s ভাগ করে n তাহলে Z_m + Z_n এর একটি উপগোষ্ঠী রয়েছে Z_r + Z_s থেকে আইসোমরফিক।","সত্য, সত্য","মিথ্যা, মিথ্যা","সত্য, মিথ্যা","মিথ্যা, সত্য","A","D","D","bare_letter","False"
"প্রদত্ত বহুপদী বলয়ে প্রদত্ত বহুপদীর যোগফল নির্ণয় কর। f(x) = 4x - 5, g(x) = 2x^2 - Z_8[x] এ 4x + 2।","2x^2 + 5","6x^2 + 4x + 6","0","x^2 + 1","A","B","B","bare_letter","False"
"বিবৃতি 1 | R^2 এ দুটি ভেক্টরের যে কোনো সেট রৈখিকভাবে স্বাধীন। বিবৃতি 2 | যদি V = span(v1, ... , vk) এবং {v1, ... , vk} রৈখিকভাবে স্বাধীন হয়, তাহলে dim(V) = k।","সত্য, সত্য","মিথ্যা, মিথ্যা","সত্য, মিথ্যা","মিথ্যা, সত্য","D","D","D","bare_letter","True"
"জটিল সংখ্যার গুণনের অধীনে ঐক্যের সমস্ত nতম মূলের সেট a/an গঠন করে","পরিচয় সহ আধা গ্রুপ","পরিচয়সহ পরিবর্তনশীল সেমিগ্রুপ","দল","আবেলিয়ান দল","D","D","D","bare_letter","True"
"বিবৃতি 1 | প্রতিটি সর্বোচ্চ আদর্শ একটি প্রধান আদর্শ। বিবৃতি 2 | যদি আমি একটি কম্যুটেটিভ রিং R এর সর্বাধিক আদর্শ হয়, তাহলে R/I হল ক্ষেত্র।","সত্য, সত্য","মিথ্যা, মিথ্যা","সত্য, মিথ্যা","মিথ্যা, সত্য","B","D","D","bare_letter","False"
"ধরুন, G দ্বারা মূলদ সংখ্যা সহ সমস্ত n x n অ-একবচন ম্যাট্রিক্সের সেটকে এন্ট্রি হিসাবে চিহ্নিত করা হয়েছে। তারপর গুণনের অধীনে G হল a/an","উপদল","সসীম আবেলিয়ান দল","অসীম, অ্যাবেলিয়ান দল না","অসীম, অ্যাবেলিয়ান","C","B","B","bare_letter","False"
"বিবৃতি 1 | অর্ডার 42 এর প্রতিটি দলের অর্ডার 7 এর সাধারণ উপদল রয়েছে। বিবৃতি 2 | অর্ডার 42-এর প্রতিটি দলের অর্ডার 8-এর একটি সাধারণ উপদল রয়েছে।","সত্য, সত্য","মিথ্যা, মিথ্যা","সত্য, মিথ্যা","মিথ্যা, সত্য","C","D","D","bare_letter","False"
