question,answer,cot_answer,extracted_answer,is_correct,lcr,question_id,difficulty
Bata wa Janet hutaga mayai 16 kila siku. Huwa anakula matatu wakati wa staftahi kila asubuhi na huokea marafiki zake mafini kila siku kwa mayai manne. Huwa anauza yaliyosalia katika soko la wakulima kila siku kwa $2 kwa kila yai la bata. Huwa anatengeneza pesa ngapi katika dola kila siku katika soko la wakulima?,18,"Bata wa Janet hutaga mayai 16 kila siku. Anakula matatu, hivyo anabaki na 16 - 3 = 13 mayai. Huwa anauza mayai manne kwa mafini, hivyo anauza 13 - 4 = 9 mayai. Kila yai la bata linauzwa kwa $2, hivyo anajipatia 9 * 2 = $18 kila siku katika soko la wakulima.

Jibu: 18",18.0,True,1.0,0,easy
Joho hutumia komeo 2 za ufumwele wa buluu na nusu ya kiasi hicho cha ufumwele mweupe. Huwa inatumia jumla ya komeo ngapi?,3,"Joho hutumia komeo 2 za ufumwele wa buluu na nusu ya kiasi hicho cha ufumwele mweupe, ambayo ni 1.5 komeo. Kwa jumla, hutumia 2 + 1.5 = 3.5 komeo.

Jibu: 3.5",3.5,False,1.0,1,easy
"Josha anaamua kujaribu kununua nyumba na kuuza kwa faida. Ananunua nyumba kwa $80,000 na kutumia $50,000 kuikarabati. Hii iliongeza thamani ya nyumba hiyo kwa 150%. Alipata faida ya kiasi gani?",70000,"Thamani ya awali ya nyumba ilikuwa $80,000. Baada ya ukarabati, thamani yake iliongezeka kwa 150%, ikimaanisha kuwa ilifikia 250% ya thamani yake ya awali. Hii inamaanisha kuwa thamani mpya ya nyumba ni $80,000 * 2.5 = $200,000. Faida aliyopata Josha ni tofauti kati ya thamani ya uuzaji na gharama ya ununuzi na ukarabati: $200,000 - ($80,000 + $50,000) = $200,000 - $130,000 = $70,000.

Jibu: 70000",70000.0,True,1.0,2,medium
James anaamua kukimbia mbio 3 fupi mara 3 kwa wiki. Anakimbia mita 60 kwa kila mbio fupi. Huwa anakimbia jumla ya mita ngapi kwa wiki?,540,"Kwanza, tafuta jumla ya umbali uliosafiriwa kwa kila kimbio fupi: mita 60 kwa kila mbio × mbio 3 = mita 180 kwa kila kimbio fupi. Kisha zidisha kwa idadi ya mara James anakimbia kimbio fupi: mita 180 × mara 3 = mita 540.

Jibu: 540",540.0,True,1.0,3,easy
"Kila siku, Wendi hulisha kila mmoja kati ya kuku wake vikombe vitatu vya chakula mseto cha kuku, kilicho na mbegu, wadudu na mboga ili kusaidia kudumisha afya yao nzuri. Yeye hupatia kuku hao chakula chao katika milo mitatu tofauti. Asubuhi, huwapa kuku wake vikombe 15 vya chakula. Mchana, huwapa kuku wake vikombe vingine 25 vya chakula. Anahitaji kuwapa kuku wake vikombe vingapi vya chakula katika mlo wa mwisho wa siku iwapo idadi ya kuku wa Wendi ni kuku 20?",20,"Wendi ana kuku 20, na kila kuku anahitaji vikombe 3 vya chakula kwa siku. Kwa hivyo, jumla ya chakula kinachohitajika kwa siku ni 20 * 3 = 60 vikombe. Yeye tayari amewaacha vikombe 15 asubuhi na vikombe 25 mchana, jumla ya 15 + 25 = 40 vikombe. Ili kupata kiasi cha chakula kinachohitajika kwa mlo wa mwisho wa siku, toa chakula tayari kilichopewa kutoka kwa jumla ya chakula kinachohitajika: 60 - 40 = 20 vikombe.

Jibu: 20",20.0,True,1.0,4,medium
"Kylar alienda kwa duka kununua vioo vya jengo lake jipya. Kioo kimoja kinagharimu $5, lakini kila kioo cha pili kinagharimu 60% pekee ya bei. Kylar anataka kununua vioo 16. Anahitaji kulipa pesa ngapi kwa vioo hivyo?",64,"Kylar anahitaji kununua vioo 16. Kioo cha kwanza kinagharimu $5, na kila kioo cha pili na baadaye kinagharimu 60% ya bei ya kioo cha kwanza, ambayo ni $3. Kwa hivyo, gharama ya jumla inaweza kuhesabiwa kama ifuatavyo:

- Kioo cha kwanza: $5
- Vioo 15 vilivyobaki: 15 * $3 = $45

Kwa kuongeza gharama hizi pamoja, tunapata jumla ya pesa ambayo Kylar anahitaji kulipa:
$5 + $45 = $50

Jibu: 50",50.0,False,1.0,5,medium
"Toulouse lina kondoo mara mbili ya idadi ya kondoo katika Charleston. Charleston lina kondoo mara 4 ya idadi ya kondoo katika Seattle. Majiji ya Toulouse, Charleston, na Seattle yana jumla ya kondoo wangapi kwa pamoja iwapo Seattle lina kondoo 20?",260,"Seattle lina kondoo 20. Charleston lina kondoo mara 4 ya idadi ya Seattle, kwa hivyo Charleston lina 4 * 20 = 80 kondoo. Toulouse lina kondoo mara mbili ya idadi ya Charleston, kwa hivyo Toulouse lina 2 * 80 = 160 kondoo. Jumla ya idadi ya kondoo katika miji yote mitatu ni 20 + 80 + 160 = 260 kondoo.

Jibu: 260",260.0,True,1.0,6,hard
"Carla anapakua faili ya GB 200. Kwa kawaida anaweza kupakua GB 2 kila dakika, lakini akiwa 40% ya upakuaji, Windows hulazimisha kuanza upya ili kupakia visasisho, na huchukua dakika 20. Kisha Carla ni lazima aanze tena kupakua kuanzia mwanzoni. Itamchukua muda gani kupakuafaili hiyo?",160,"Hebu tuchambue hatua kwa hatua:

1. **Upakuaji wa kawaida:** Carla anaweza kupakua faili ya GB 2 kwa dakika, kwa hivyo kupakua faili nzima kwa kawaida ingechukua:
   GB 200 / GB 2/dakika = dakika 100.

2. **Windows Inalazimisha Kuanza Upya:** Carla yuko 40% ya upakuaji, ambayo ni:
   GB 200 * 0.4 = GB 80.
   Baada ya Windows kuanza upya, Carla anahitaji kupakua tena kutoka mwanzo, ambayo inachukua:
   GB 80 / GB 2/dakika = dakika 40.

3. **Jumla ya Muda:** Muda wa kawaida wa upakuaji wa faili ni dakika 100, lakini 40% ya upakuaji (dakika 40) inahitaji kuanza upya. Kwa hivyo, jumla ya muda wa upakuaji ni:
   dakika 100 + dakika 40 = dakika 140.

Jibu: 140",140.0,False,1.0,7,hard
"John huendesha kwa saa 3 kwa kasi ya maili 60 kwa kila saa na kisha kugeuka kwa sababu anagundua kuwa amesahau kitu muhimu sana nyumbani. Anajaribu kurudi nyumbani kwa saa 4 lakini anatumia saa 2 za kwanza katika trafiki isiyosonga. Anatumia nusu saa inayofuata akiendesha kwa kasi ya maili 30 kwa kila saa, kabla ya kuweza kuendesha muda unaosalia kwa saa 4 katika kasi ya maili 80 kwa saa. Yuko umbali upi kutoka nyumbani mwishoni mwa saa hizo 4?",45,"John huendesha kwa saa 3 kwa kasi ya maili 60 kwa saa, akifika umbali wa 3 * 60 = 180 maili. Anatumia saa 2 za kwanza katika trafiki isiyosonga, kwa hivyo anashughulikia 2 * 60 = 120 maili. Anatumia nusu saa inayofuata akiendesha kwa kasi ya maili 30 kwa saa, akishughulikia 30 * 0.5 = 15 maili. Anashughulikia saa 4 zilizobaki kwa kasi ya maili 80 kwa saa, akishughulikia 4 * 80 = 320 maili. Jumla ya umbali ni 180 + 120 + 15 + 320 = 735 maili.

Jibu: 735",735.0,False,1.0,8,hard
"Kiwango cha Eliza kila saa kwa saa 40 za kwanza anazofanya kazi kila wiki ni $10. Pia anapokea malipo ya muda wa ziada ya mara 1.2 ya malipo yake ya kawaida ya saa. Iwapo Eliza alifanya kazi kwa saa 45 wiki hii, mapato yake ya wiki hii ni ngapi?",460,"Kiwango cha kawaida cha Eliza kwa saa 40 ni $10, kwa hivyo kiwango chake cha kawaida kwa saa 45 ni $10 + (45 * $10 / 40) = $10 + $11.25 = $21.25. Malipo yake ya muda wa ziada ni 1.2 * $21.25 = $25.50. Jumla ya mapato yake ya wiki hii ni $21.25 + $25.50 = $46.75.

Jibu: 46.75",46.75,False,1.0,9,medium
