sample_id,subject,subject_category,answer,cultural_sensitivity_label,is_annotated,pred_Mistral-7B,pred_Qwen2.5-7B,pred_OpenChat-3.5,correct_Mistral-7B,correct_Qwen2.5-7B,correct_OpenChat-3.5,panel_accuracy,difficulty
abstract_algebra/test/0,abstract_algebra,STEM,B,-,False,A,D,D,0,0,0,0.0,hard
abstract_algebra/test/1,abstract_algebra,STEM,C,-,False,C,A,C,1,0,1,0.6666666666666666,hard
abstract_algebra/test/10,abstract_algebra,STEM,C,-,False,A,A,D,0,0,0,0.0,hard
abstract_algebra/test/11,abstract_algebra,STEM,C,CA,True,A,C,A,0,1,0,0.3333333333333333,hard
abstract_algebra/test/12,abstract_algebra,STEM,A,-,False,C,C,D,0,0,0,0.0,hard
abstract_algebra/test/13,abstract_algebra,STEM,C,-,False,A,B,D,0,0,0,0.0,hard
abstract_algebra/test/14,abstract_algebra,STEM,C,-,False,D,C,D,0,1,0,0.3333333333333333,hard
abstract_algebra/test/15,abstract_algebra,STEM,B,-,False,C,A,A,0,0,0,0.0,hard
abstract_algebra/test/16,abstract_algebra,STEM,C,CA,True,C,C,D,1,1,0,0.6666666666666666,hard
abstract_algebra/test/17,abstract_algebra,STEM,C,-,False,C,C,D,1,1,0,0.6666666666666666,hard
abstract_algebra/test/18,abstract_algebra,STEM,D,CA,True,B,D,B,0,1,0,0.3333333333333333,hard
abstract_algebra/test/19,abstract_algebra,STEM,A,-,False,C,A,A,0,1,1,0.6666666666666666,hard
abstract_algebra/test/2,abstract_algebra,STEM,D,-,False,A,D,D,0,1,1,0.6666666666666666,hard
abstract_algebra/test/20,abstract_algebra,STEM,A,CA,True,C,A,D,0,1,0,0.3333333333333333,hard
abstract_algebra/test/21,abstract_algebra,STEM,A,-,False,D,A,C,0,1,0,0.3333333333333333,hard
abstract_algebra/test/22,abstract_algebra,STEM,D,-,False,A,B,A,0,0,0,0.0,hard
abstract_algebra/test/23,abstract_algebra,STEM,D,-,False,C,D,D,0,1,1,0.6666666666666666,hard
abstract_algebra/test/24,abstract_algebra,STEM,B,CA,True,C,A,A,0,0,0,0.0,hard
abstract_algebra/test/25,abstract_algebra,STEM,C,-,False,A,C,A,0,1,0,0.3333333333333333,hard
abstract_algebra/test/26,abstract_algebra,STEM,C,-,False,C,C,D,1,1,0,0.6666666666666666,hard
abstract_algebra/test/27,abstract_algebra,STEM,B,CA,True,C,B,B,0,1,1,0.6666666666666666,hard
abstract_algebra/test/28,abstract_algebra,STEM,D,CA,True,D,D,D,1,1,1,1.0,easy
abstract_algebra/test/29,abstract_algebra,STEM,A,-,False,A,A,A,1,1,1,1.0,easy
abstract_algebra/test/3,abstract_algebra,STEM,B,CA,True,A,B,A,0,1,0,0.3333333333333333,hard
abstract_algebra/test/30,abstract_algebra,STEM,B,-,False,A,C,A,0,0,0,0.0,hard
abstract_algebra/test/31,abstract_algebra,STEM,B,-,False,B,B,B,1,1,1,1.0,easy
abstract_algebra/test/32,abstract_algebra,STEM,A,CA,True,A,A,A,1,1,1,1.0,easy
abstract_algebra/test/33,abstract_algebra,STEM,C,CA,True,A,C,A,0,1,0,0.3333333333333333,hard
abstract_algebra/test/34,abstract_algebra,STEM,A,CA,True,A,B,D,1,0,0,0.3333333333333333,hard
abstract_algebra/test/35,abstract_algebra,STEM,B,CA,True,C,B,D,0,1,0,0.3333333333333333,hard
