question,A,B,C,D,answer,subject
"若一个顶点为 (– 2, – 4)、(– 4, 1)、(–1, 4)、(2, 4) 和 (3, 0)的五边形 P 在直线 y = x 上反射得到一个新的五边形 P’，则 P’的一个顶点是","(0, – 3)","(4, 1)","(2, 2)","(– 4, –2)",D,high_school_mathematics
矩形的长度是其宽度的两倍。给定对角线的长度为 5\sqrt{5}，求矩形的面积。,2500,2,50,25,C,high_school_mathematics
"若对于正整数 n 的每个质因数 p, p^2 也是 n 的因数，则 n 称为“强整数”。强整数的一个例子是",392,336,300,297,A,high_school_mathematics
在早餐、午餐和晚餐时，Joe 以等概率随机选择吃一个苹果、一个橘子或一根香蕉。在某一天，Joe 吃至少两种不同水果的概率是多少？,\frac{7}{9},\frac{8}{9},\frac{5}{9},\frac{9}{11},B,high_school_mathematics
"假设 f(x) 是具有以下性质的函数：对于所有使得 a<b 的实数 a 和 b，y=f(x) 的图形在 x=a 和 x=b 之间的部分位于端点为 (a,f(a)) 和 (b,f(b)) 的线段下方。（具有这种性质的函数称为严格凸函数）。假设 f(x) 经过 (-2,5) 和 (2,9)，则 f(1) 的所有可能值的范围是多少？用区间符号表达你的答案。","(-inf, 10)","(-inf, 9)","(-inf, 8)","(-inf, 7)",C,high_school_mathematics
John 把他的纪念帽别针分成两堆。这两堆有相同数量的别针。他给他哥哥一堆的三分之一的一半。John 还剩下 66 个别针。John 最初有多少个别针？,396,72,66,36,B,high_school_mathematics
气象学家报告说有 30% 的可能性会下雨而且没有太阳。若不下雨的概率是 40%，则下雨和太阳同时出现的概率是,0.16,0.24,0.3,0.5,C,high_school_mathematics
使得 n^2 是 1200 的因数的所有正整数 n 的和是多少？,42,12,36,39,A,high_school_mathematics
我们掷 5 次公平 6 面骰子。最多掷 2 次得到 6 的概率是多少？,\frac{125}{648},\frac{25}{648},\frac{625}{648},\frac{1}{648},C,high_school_mathematics
有多少个连续奇数的等差数列和等于 240？,8,12,10,4,B,high_school_mathematics
正整数 x 和 y 的乘积为 56 且 x < y。7 乘以小整数的倒数加上 14 乘以大整数的倒数等于 4。x 的值是多少？,13,14,1,2,D,high_school_mathematics
假设 n > 1，其正除数的乘积是 n^6 的最小正整数 n 是多少？,30,64,2048,60,D,high_school_mathematics
2^{87} +3 除以 7 的余数是多少？,0,1,2,4,D,high_school_mathematics
Jane 的测验分数是 98、97、92、85 和 93。则她的平均分是多少？,92,93,94.5,95,B,high_school_mathematics
假设 f 的图形在 a <= x <= b 时递增且上凹。则使用相同数量的细分，L、R、M 和 T 分别表示左、右、中点以及梯形和，可以得出,R <= T <= M <= L,L <= T <= M <= R,R <= M <= T <= L,L <= M <= T <= R,D,high_school_mathematics
"一只蚂蚁从 (-4,6) 直直爬到原点，然后继续直直爬到 (4,3)。它爬了多远？",16,2\sqrt{2},5,5+2\sqrt{13},D,high_school_mathematics
设 n 是两个最小的 3 位数质数的乘积。求 n 的各数位和。,8,3,6,9,A,high_school_mathematics
由 (x^2+5x+6)^2+(px+q)(x^3+7x^2+3x) 展开得到的多项式的次为 2。求 p+q。,-2,-4,-1,1,B,high_school_mathematics
若 f(x)=ax^6-bx^4+x-1 且 f(2)=5，则 f(-2) 的值是多少？,1,3,0,5,A,high_school_mathematics
函数 f(x) = \frac{1}{1-x} 的范围是什么？用区间符号表达你的答案。,"(-\infty,-1)\cup (1,\infty)","(-\infty,0)\cup (0,\infty)","[-1,1]","(-1,1)",B,high_school_mathematics
f(x)=4-5x 的倒数是什么？,\frac{5}{x-4},\frac{x-4}{5},\frac{x+4}{5},-\frac{x-4}{5},D,high_school_mathematics
一个数列中第一项是 2，后面每一项都是 −2 乘以前一项，则该数列的第五项是多少？,−16,32,−32,64,B,high_school_mathematics
把 4 个不同的球放进 2 个别无二致的盒子里有多少种方法？,7,11,16,8,D,high_school_mathematics
有多少正整数是 120 的因数，也是 40 的因数？,4,8,2,1,B,high_school_mathematics
Carlos Montado 出生于 2002 年 11 月 9 日星期六。Carlos 出生后第 706 天是星期几？（明确一周中的一整天。）,星期五,星期四,星期三,星期二,A,high_school_mathematics
符号 5! 表示 5\cdot 4\cdot 3\cdot 2\cdot 1。则作为 5! 的因数的最大奇整数是多少？,5,3,15,31,C,high_school_mathematics
在平行四边形 ABCD 中，角 B 的测量值为 110^\circ。角 C 的度数是多少？,145,90,60,70,D,high_school_mathematics
净化过程从水箱中去除污染物的速率与残留污染物的量成正比。若在处理过程的第一分钟内可以去除 20% 的污染物，并且必须去除 98% 污染物以使水质安全，则净化过程大约需要多长时间？,2 分钟,5 分钟,18 分钟,20 分钟,C,high_school_mathematics
函数 f(x)=\frac{x+6}{\sqrt{x^2-3x-4}} 的定义域是什么？,"(-4,4)","[0,4]","(-inf, -1) U (4, inf)","(-inf, -1) U (-1, 4) U (4, inf)",C,high_school_mathematics
函数 y = (ln x)/x 的相对最大值是,1,e,2/e,1/e,D,high_school_mathematics
1 \cdot 2 \cdot 3 \cdot 4 \cdot 5 \cdot 6 \cdot 7 \cdot 8 \cdot 9 的个位数是多少？,1,2,0,5,C,high_school_mathematics
从原点到由 x^2-24x +y^2+10y +160=0 定义的圆的最短距离是多少？,10,16,24,12,A,high_school_mathematics
具有 16、15、12 因数的最小正整数是多少？,12,22,840,240,D,high_school_mathematics
若所有三张牌必须是不同花色，则从一副标准 52 张牌中选出 3 张牌的方法有多少种？（假设牌的顺序无关紧要。）,8788,2,2197,21,A,high_school_mathematics
