"question","A","B","C","D","answer","direct_answer","extracted_answer","parse_method","is_correct"
"Tafuta kiwango kwa upanuzi wa sehemu uliyopewa Q(sqrt(2), sqrt(3), sqrt(18)) juu ya Q.","0","4","2","6","B","C","C","bare_letter","False"
"Fanya p = (1, 2, 5, 4)(2, 3) katika S_5. Tafuta faharisi ya <p> katika S_5.","8","2","24","120","C","C","C","bare_letter","True"
"Tafuta sufuri zote katika sehemu yenye kikomo iliyoashiriwa ya polinomia iliyopewa na mgawo katika sehemu hiyo. x^5 + 3x^3 + x^2 + 2x katika Z_5","0","1","0,1","0,4","D","C","C","bare_letter","False"
"Kauli ya 1 | Kikundi cha sababu cha kikundi kisichokuwa cha Abeli si cha Abeli. Kauli ya 2 | Ikiwa K ni kikundi cha kawaida cha H na H ni kikundi cha kawaida cha G, basi K ni kikundi cha kawaida cha G.","Kweli, Kweli","Uongo, Uongo","Kweli, Uongo","Uongo, Kweli","B","C","C","bare_letter","False"
"Tafuta uzidisho wa polinomia ulizopewa kwenye mzunguko wa polinomia uliyopewa. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 katika Z_8[x].","2x^2 + 5","6x^2 + 4x + 6","0","x^2 + 1","B","B","B","bare_letter","True"
"Kauli ya 1 | Ikiwa kikundi kina kipengele cha mpangilio wa 15 lazima kiwe na angalau vipengele 8 vya mpangilio wa 15. Kauli ya 2 | Ikiwa kikundi kina zaidi ya vipengele 8 vya mpangilio wa 15, lazima kiwe na angalau vipengele 16 vya mpangilio wa 15.","Kweli, Kweli","Uongo, Uongo","Kweli, Uongo","Uongo, Kweli","A","D","D","bare_letter","False"
"Kauli ya 1 | Kila picha ya kihomoftiki ya kundi G ni isomofiki kwa kikundi cha kipengele cha G. Kauli ya 2 | Picha za homofiki za kikundi G ni sawa (hadi isomofia) na vikundi vya sababu za G.","Kweli, Kweli","Uongo, Uongo","Kweli, Uongo","Uongo, Kweli","A","C","C","bare_letter","False"
"Kauli ya 1 | Homomofia ya mzunguko ni moja kwa moja ikiwa na ikiwa tu punje ni {0}. Kauli ya 2 | Q ni bora katika R.","Kweli, Kweli","Uongo, Uongo","Kweli, Uongo","Uongo, Kweli","D","A","A","bare_letter","False"
"Tafuta kiwango cha upanuzi wa sehemu uliyopewa Q(sqrt(2) + sqrt(3)) juu ya Q.","0","4","2","6","B","C","C","bare_letter","False"
"Tafuta sufuri zote katika sehemu yenye kikomo iliyoashiriwa ya polinomia iliyopewa na mgawo katika sehemu hiyo. x^3 + 2x + 2 katika Z_7","1","2","2,3","6","C","C","C","bare_letter","True"
"Kauli ya 1 | Ikiwa H ni kikundi kidogo cha G na a ni ya G basi |aH| = |Ha|. Kauli ya 2 | Ikiwa H ni kikundi kidogo cha G na a na b ni cha G, basi aH na Hb zinafanana au haziungani.","Kweli, Kweli","Uongo, Uongo","Kweli, Uongo","Uongo, Kweli","C","C","C","bare_letter","True"
"Ikiwa A = {1, 2, 3} basi uhusiano S = {(1, 1), (2, 2)} ni","linganifu pekee","isiyolinganifu pekee","zote linganifu na Isiyolinganifu ","uhusiano wa usawa","C","A","A","bare_letter","False"
"Tafuta mpangilio wa kipengele cha kikundi (Z_11 x Z_15)/(<1, 1>)","1","2","5","11","A","C","C","bare_letter","False"
"Polinomia za x^3 + 2x^2 + 2x + 1 zinaweza kujumuishwa katika vipengele vya mstari katika Z_7[x]. Tafuta mfumuko huu.","(x − 2)(x + 2)(x − 1)","(x + 1)(x + 4)(x − 2)","(x + 1)(x − 4)(x − 2)","(x - 1)(x − 4)(x − 2)","C","C","C","bare_letter","True"
"Pata mpangilio wa juu unaowezekana wa kipengele cha S_n kwa n = 10.","6","12","30","105","C","C","C","bare_letter","True"
"Kauli ya 1 | R ni sehemu inayogawanyika ya polinomia juu ya Q. Kauli ya 2 | Kuna sehemu yenye vipengele 60.","Kweli, Kweli","Uongo, Uongo","Kweli, Uongo","Uongo, Kweli","B","A","A","bare_letter","False"
"Kinyume cha -i katika kikundi cha kuzidisha, {1, -1, i, -i} ni","1","-1","i"," -i","C","D","D","bare_letter","False"
"Kuhesabu uzidisho katika mzunguko uliotolewa. (2,3)(3,5) katika Z_5 x Z_9","(1,1)","(3,1)","(1,6)","(3,6)","C","C","C","bare_letter","True"
"Seti ya nambari zote halisi chini ya operesheni ya kawaida ya kuzidisha sio kikundi tangu wakati huo","kuzidisha sio operesheni ya binari","kuzidisha sio kwa kushirikisha","kipengele cha utambulisho hakipo","sufuri haina kinyume","D","B","B","bare_letter","False"
